id,name,level,desctiption,special_ability
0,海盗,0,低生命力和攻击力的普通敌方单位。,＃没有特别能力@＃中级移动速度@＃群体行动
1,巴尔波杀,0,使用锥子来防卫自己的普通敌方单位。,＃中级移动速度@＃低防御力
2,路平,0,拥有中型力量和十分敏捷的敌方单位。它们能够躲开近距离攻击。,＃快速@＃能躲开近距离攻击
3,洛基,0,比弟弟路平稍微强大以及同样能够躲开近距离攻击。,＃快速@＃能躲开近距离攻击@＃低防御力
4,金魔拉,0,拥有可怕黑魔法的敌方单位。拥有治愈邻近敌人的能力。,＃慢速度@＃高魔法抵抗力@＃治愈邻近敌人
5,兽人坦克,0,拥有硬皮和高生命池的巨大兽人。,＃慢速度@＃高生命@＃被杀灭时领取3颗心
6,独眼兽,0,飞越部队和塔楼。拥有对所有地面攻击和技术的免疫力。,＃没攻击，没能被阻挡@＃只有射手和魔法巨龙能触及它们
7,兽人大王,0,统治山地的大王。使用战争之角来命令当地怪兽。,＃极高生命力、伤害力和防御力@＃被杀灭时领取25颗心@＃召唤爪牙
8,野猪,0,咆哮大王的爪牙。这怪兽能迅速地穿梭两地。,＃快速度@＃群体行动
9,狼人,0,狼人们十分聪慧。能轻易溜过塔楼以及只能被射手和近距离战斗英雄阻挡。,＃快速@＃溜过塔楼
10,蜗牛,0,拥有高魔法抵抗力样似蜗牛的怪兽。,＃高魔法抵抗力@＃被杀灭时领取2颗心@＃死亡时转变
11,悍蜗牛,0,以普通蜗牛转化而成。脱壳后行动更快速但却牺牲了防御力。,＃快速度@＃高伤害力
12,变种蜗牛,0,采用人形的变种蜗牛。打击力极为强大以及非常困难被杀灭。,＃非常高魔法抵抗力@＃被杀灭时领取2颗心@＃死亡时转化
13,悍变种蜗牛,0,以变种蜗牛转化而成。抛开雨伞后能更快速行动但却牺牲了防御力。,＃快速度@＃高伤害力
14,部落战士,0,高适应度以及能够通过抛出矛箭来做长距离攻击。,＃长距离攻击@＃群体行动
15,酒醉兽人,0,拥有致命斧头武器的巨大兽人。他能通过喝兽人酒来治愈自己。,＃被杀灭时领取3颗心@＃自行治愈
16,金矿大王,0,统治金矿的大王。全身都由纯金而做。,＃极高生命力、伤害力和防御力@＃被杀灭时领取25颗心
17,基荣格,0,金王的爪牙。在战斗时有可能爆炸。,＃快速度@＃近距离接触时爆炸
18,饥饿野兔,0,被咒语镇住的野兔，极为危险和恶毒。,＃快速度@＃群体行动
19,恶毒野兔,0,备有盾牌和武器，这类野兔比同类更能造成大威胁。,＃高防御力@＃中级移动速度
20,海象坦克,0,拥有高活力和耐力。移动时使用巨大盾牌来阻挡周围攻击。,＃极高防御力和魔法抵抗力@＃移动时对伤害完全免疫。
21,冰兽,0,在南部海洋出生的巨大怪兽。他们的皮特别厚以承受故土的寒冷天气。,＃慢速度@＃极高生命力@＃高防御力
22,翼熊,0,能够飞翔和在空中以炮弹攻击猎物的变种熊。,＃飞行单位；从高空抛丢炮弹@＃极高防御力
23,女巫,0,奸诈、狡猾的女巫。,＃中级移动速度@＃极高魔法抵抗力@＃立即刺杀一位敌人
24,发射机,0,冰熊使用发射机从远处攻击敌人。,＃慢速度@＃远距离攻击和冷冻敌人
25,冰冻女皇,0,被同伴背叛的前任女巫。在心中充满恨意和报复渴望下陷入盲目学习黑魔法。,＃在地图上瞬移@＃把敌人转化为她的盟友
