id,name,level,desctiption,special_ability
0,海賊,0,健康と負傷の少ない共通の敵ユニット。,＃特殊能力なし@＃ミディアムモーション@＃グループ内でのクロス
1,バルボサ,0,通常の敵ユニットと防御するメイス。,＃中程度の動き@＃低い物理的な防御
2,ルパン,0,中程度のパワーを持つ非常に滑らかな敵ユニット。彼らは感染の攻撃を防ぐことができます。,＃Fast @＃近接攻撃を回避できる
3,ロキ,0,彼の弟ルパンより少し強く、また近接攻撃を避けることができます。,＃固定@＃近接攻撃を避けることができる@＃低身体防衛
4,キモラ,0,恐ろしい暗い魔法を持つ敵対的なデバイス。近くの敵を癒す能力があります。,＃スロー@＃高い魔法抵抗力@＃近くの敵の健康
5,オークタンク,0,太い肌と高い健康プールを持つ巨大なエネルギー。,＃スロー@＃ハイ・ヘルス@＃殺されると3つのハートをとる
6,一つ目,0,軍隊や塔の上を飛ぶ。すべての地上攻撃とスキルに耐性があります。,＃攻撃はブロックできません@＃アーチャーとマジックドラゴンだけがそれらに達することができます
7,オークキング,0,山の雨が降った王。彼は戦争コーナーで地元のモンスターに命じる。,＃非常に高い健康、怪我、防御@＃死んだときには25心がかかります@＃ミニオンを召喚します
8,イノシシ,0,ロアキングのミニオン。動物は場所から場所へ素早く移動することができます。,＃すばやく@＃クロスグループ
9,狼男,0,床はとても知的です。彼らは塔の向こうに寄り添い、歩兵やキャンプ近郊のヒーローだけが止めることができます。,＃すばやく@＃塔を過ぎて話す
10,巻き貝,0,高い魔法抵抗力を持つ奇怪な奇怪な生き物。,＃高い魔法抵抗力@＃死んだときに＃コンバーターを殺すと2つの心が奪われます
11,大胆なカタツムリ,0,開発者は通常のカタツムリから。彼らは重い頭骨に打ち勝った後、より速く動くが、防衛を犠牲にしている。,＃ファスト @＃高いダメージ
12,変異カタツムリ,0,男の形を取る突然変異カタツムリ。非常に激しくヒットし、殺すことも非常に難しいです。,＃非常に高い魔法抵抗力@＃死んだときに＃コンバーターを殺したときに2つのハートをとる
13,太字変異カタツムリ,0,突然変異したカタツムリからの開発者。彼らは傘を捨ててから速く動くが、防衛を犠牲にしている。,＃ファスト @＃高いダメージ
14,部族の戦士,0,非常に適応性があり、スピアを投げることで長期的な攻撃を使用することができます。,＃距離からの攻撃@＃クロスグループ
15,酔っているオーク,0,武器のような致命的な斧を持つ大きな蘭。彼は、オーク以外のワインを食べて癒すことができます。,＃殺されると3つの心を取ります。＃自己回復
16,鉱山の王,0,金の鉱山を雨に降らせる王。彼の全身は純金でできています。,＃非常に高い健康、怪我、防御@＃死んだときには25心がかかります@＃ミニオンを召喚します
17,ギドログ,0,ゴールデンキングのミニオン。戦闘中に爆発する可能性があります。,＃クローズアップ時の＃Fast @＃スプレー
18,ハングリーハレ,0,非常に危険な悪意のある猛禽群。,＃すばやく@＃クロスグループ
19,悪意のある馬,0,盾や武器を装備したこれらの野生動物は、飢えた同僚よりも脅威があります。,＃高い物理防御@＃ミディアムムーブメント
20,セイウチタンク,0,激しい活力とスタミナを持っています。彼が動いたときに大きな盾でさまざまな攻撃を阻止します。,＃非常に高い防御力と魔法抵抗力＃移動時の免疫傷害。
21,アイスビースト,0,南の海から生まれた大きな動物。彼らの肌は、母国で寒さに耐えるのに特に厚いです。,＃遅い@＃非常に高い健康@＃高い身体的な防衛
22,ウイングベア,0,爆撃された爆弾で飛んで空から彼のスワップを攻撃できる突然の熊。,＃飛行機; @＃非常に高い物理的防御の上から爆弾を投げる
23,魔女,0,スニケット、甘い魔女。,＃中程度の動き@＃非常に高い魔法抵抗力@＃直ちに敵
24,カタパルト,0,アイスビーストが遠くの敵を攻撃するのに使う。,＃ゆっくり@＃距離からの攻撃と冷凍庫
25,霜の女王,0,彼のパートナーによって裏切られた元魔女。ヒンジのための憎しみと欲望でいっぱい、彼女は忘却に落ちて、暗い芸術を学んだ。,＃地図上をテレポートする@＃敵を連合軍の@＃召喚のミニオンに変える
