id,name,level,desctiption,special_ability
0,해적,0,가장 평범한 유닛으로 낮은 체력과 공격력을 가지고 있습니다.,
1,바보사,0,곤봉으로 자신을 보호하는 일반 유닛입니다.,
2,루핀,0,굉장히 날렵한 유닛이지만 보통의 공격력을 가지고 있습니다.이들은 근접공격을 회피할 수 있습니다.,#빠름 @# 근접공격을 회피
3,로키,0,Lupin보다 약간 더 강력하고 근접공격을 회피할 수 있습니다.,#빠름 @# 근접공격을 회피 @# 높은 물리공격 면역
4,키모라,0,무시무시한 어둠의 마법을 가지고 있습니다.주변의 적을 치유합니다.,#느림 @# 주변의 적을 치유 @# 높은 마법공격 면역
5,오크 탱크,0,튼튼한 피부와 높은 체력을 가진 거대한 오크입니다.,
6,한눈,0,병사와 타워 위로 날아갈 수 있습니다.지상 공격과 스킬에 면역입니다.,#공중 유닛 @# 아처와 마법의 용만이 공격 가능
7,오크 킹,0,마운틴 랜드의 왕입니다.지역의 몬스터들에게 뿔피리를 불어 명령을 내립니다.,# 굉장히 높은 체력 @# 야생 맷돼지를 맵 곳곳에서 소환
8,야생돼지,0,야생돼지의 병사들입니다.이 야수들은 굉장히 빠르게 이동합니다.,# 빠름 @# 한무리씩 소환
9,웨어울프,0,늑대인간들은 굉장히 똑똑합니다.그들은 타워를 빠르게 통과할 수 있습니다.오직 근접 영웅과 병사들은 이들을 막을 수 있습니다.,# 빠름 @# 타워를 기어서 지나갈 수 있음
10,달팽이,0,강력한 마법저항력을 가진 달팽이처럼 생긴 몬스터입니다.,# 높은 마법공격 면역 @# 껍질이 부숴지면 용감한 달팽이로 변신
11,용감한 달팽이,0,달팽이로부터 진화한 몬스터입니다.그들은 두껍고 무거운 껍질을 버리고 속도를 얻었습니다.,
12,변종된 달팽이,0,사람의 형태로 변형된 달팽이입니다.강력한 공격력을 가지고 있으며 처치하기 매우 어렵습니다.,# 강력한 공격력 @# 높은 방어력 @# 우산이 부숴지면 용감한 변형 달팽이로 변신
13,용감한 변종된 달팽이,0,변형된 달팽이에서 진화합니다.우산을 버림으로서 빨라졌습니다.그러나 방어력은 내려갔습니다.,
14,부족 전사,0,멀리서부터 창으로 공격을 가하는 원주민입니다.,# 원거리에서 공격
15,술취한 오크,0,거대한 오크 몬스터로 강력한 도끼를 무기로 사용합니다.오크와인을 마심으로써 스스로를 치유합니다.,# 스스로를 회복
16,지뢰 킹,0,금광을 지배하는 왕입니다.그의 몸은 순수한 금으로 이루어져 있습니다.,# 굉장히 높은 체력 @#맵 곳곳에서 Gitrog를 소환
17,기트로그,0,Mine King의 하수인입니다.전투에 들어가면 폭발할 지도 모릅니다.,#빠름 @# 아군과 대치중일 때 폭발함 @# 높은 마법공격 면역
18,배고픈 토끼,0,"마법에 걸린 토끼들, 매우 위험하고 잔인합니다",# 빠르다 @# 단채로 생성
19,사나운 토끼,0,방패와 무기로 무장된 이 토끼들은 배고픈 토끼들보다 훨신 위험합니다,# 높은 물리 방어력 @# 일반 이동속도
20,바다코끼리 탱크,0,엄청난 활력과 지구력을 가졌습니다. 원거리 공격을 방패로 막으며 움직입니다.,# 매우 높은 물리방어력과 마법방어력 @# 움직일 땐 대미지를 받지 않습니다
21,얼음 야수,0,남쪽 바다에서 태어난 큼지막한 괴물. 추운 고향에서 살기 위해 두꺼운 살을 가졌습니다.,# 느림 @# 아주 건강함 @# 높은 물리방어력
22,날개진 곰,0,날 수 있게 진화한 곰. 하늘을 날며 폭탄으로 먹이를 공격합니다.,"# 날아다니는 몬스터, 하늘에서 폭탄을 던집니다 @# 매우 높은 물리방어력"
23,마녀,0,교활한 마녀,# 일반 이동 속도 @# 매우 높은 마법 방어력 @# 바로 적을 암살 시킵니다
24,투석기,0,얼음괴물이 멀리있는 적을 공격할때 쓰는 새총.,# 느림 @# 특정 거리에서 공격하고 얼린
25,얼음여왕,0,파트너에게 배신 당한 전직 마녀. 미움으로 가득 차 복수를 위해 물 불 안 가리고 위험한 마법을 배웟습니다.,# 맵 안에서 순간이동합니다 @# 적들을 아군으로 만듭니다 @# 미니언을 소환합니다
