id,name,level,desctiption,special_ability
0,Пират,0,Обычный противник с небольшим количеством здоровья и низкой атакующей силой.,
1,Барбоса,0,"Обычный противник, защищающий себя с помощью булавы.",
2,Люпен,0,"Проворные враги, обладающие средней силой. Могут уклоняться от ближних атак.",# Быстрый @# Может уклоняться от ближних атак
3,Локи,0,Немного сильнее своего брата Люпена. Также могут уклоняться от ближних атак.,@# Прочная броня
4,Кимора,0,"Враг, владеющий устрашающей чёрной магией. Может исцелять врагов, находящихся вблизи.",# Медленный @# Лечит ближних врагов @# Высокая устойчивость к магии
5,Орк-танк,0,Огромный орк с толстой шкурой и большим запасом здоровья.,
6,Одноглазый,0,Может пролетать над войсками и башнями. Невосприимчив к любым наземным атакам и умениям.,# Летающий враг @# Только Лучник или Волшебный дракон может нанести урон.
7,Правитель орков,0,Правит над горами. Управляет монстрами с помощью своего рога.,# Очень большое количество здоровья @#Призывает Вепря из любого места на карте.
8,Вепрь,0,Слуга Правителя орков. Может перемещаться с места на место с большой скоростью.,# Быстрый @# Появляются группами
9,Оборотень,0,Оборотни невероятно умны. Они могут с лёгкость прокрасться мимо башен. Остановить их может только пехота или герои.,# Быстрый @# Крадётся мимо башен
10,Улитка,0,"Монстры, обладающие большой устойчивостью к магии.","# Высокая устойчивость к магии @# Превращается в Слизня, когда теряет раковину"
11,Слизень,0,"Происходят от улиток. Освободившись от тяжёлой раковины, они начинают двигаться гораздо быстрее, но их защита снижается.",
12,Улитки-мутанты,0,Принимают форму людей. Наносят очень сильные удары. Убить их невероятно сложно.,"# Сильные атаки @# Высокая защита @# Превращается в Слизня-мутанта, когда теряет свой зонт"
13,Слизни-мутанты,0,"Происходят от улиток-мутантов. Избавившись от своих зонтов, они начинают двигаться гораздо быстрее, но их защита снижается.",
14,Абориген,0,"Умеет хорошо приспосабливаться. Может бросать копья, поражая цель издали.",# Атакуют на расстоянии.
15,Пьяный орк,0,"Огромный орк, сражающийся смертоносной секирой. Может лечить себя с помощью орочьего вина.",# Лечат себя.
16,Король рудников,0,Правитель золотых рудников. Всё его тело состоит из чистого золота.,# Очень большое количество здоровья @# Призывает Гитрога из любого места на карте.
17,Гитрог,0,Слуга Золотого короля. Может взорваться во время битвы.,# Быстрый @# Взрывается при схватке с союзником @# Высокая устойчивость к магии
18,Hungry Hare,0,Заколдованные зайцы очень жестоки и опасны.,# Быстрый @# Появляются группами
19,Malicious Hare,0,"Носят щит и меч. Эти зайцы представляют гораздо большую опасность, чем их голодные собратья.",# Высокая физическая защита @# Среднее передвижение
20,Walrus Tank,0,Обладает огромной выносливостью и живучестью. При движении блокирует дальние атаки огромным щитом.,# Очень высокие защита и устойчивость к магии @# При движении неуязвим
21,Ice Beast,0,"Огромный зверь, рождённый южным океаном. Толстая шкура помогает ему выживать в холодном крае.",# Медленный @# Очень высокий запас здоровья @# Высокая физическая защита
22,Winged Bear,0,"Медведь-мутант, получивший способность летать. Нападает на врагов, скидывая бомбы им на головы.","# Летающий враг,  сбрасывает бомбы сверху @# Очень высокая физическая защита"
23,Witch,0,Хитрая и коварная ведьма,# Среднее передвижение @# Очень высокая устойчивость к магии @# Моментальное убийство врага
24,Catapult,0,Катапульты применяются Ледяными зверями для дальних атак.,# Медленный @# Дальние замораживающие атаки
25,Frost Queen,0,"Бывшая ведьма, которую предал возлюбленный. Исполненная ненависти и желания отомстить, она углубилась в изучение черной магии и впала в забытье.",# Может телепортироваться в различные точки карты @# Переманивает врагов на свою сторону @# Призывает помощников
