tip_id,tip_name,tip_description
0,装甲敵,装甲の敵はアーチャーと大砲砲塔からあまりダメージを受けます。
1,魔法抵抗力,高い魔法抵抗の敵に直面したときにドラゴンの砲塔は無効です。
2,UFO？,射手とドラゴンタワーだけが飛行敵に到達することができます。
3,あなたのコマンド！,歩兵は、彼らが適切なタイミングで適切な場所にある場合は、より便利です！
4,もっと良いです,援軍が増えるほど、敵をテーブルから速く奪うことができます。
5,慎重に！,あなたの人生（心）が0になると、ゲームオーバーです！
6,金持ちへの道,敵は敗北した後に金を落とす。
7,新タワーの紹介,敵の弱点を攻撃するために塔のすべての種類を試してみてください。
8,新タワーの紹介,敵の弱点を打ち負かすために、すべてのタイプのタワーを試してみてください。
9,新しいタワーの開錠,アーチャー、大砲マジックドラゴンタワー@はレベル2にアップグレードすることができます！
10,新しいタワーの開錠,アーチャーと大砲タワーズ@今のレベル3にアップグレードすることができます！
11,新しいタワーの開錠,歩兵は@今のレベル3にアップグレードすることができます！
12,新しいタワーの開錠,マジックドラゴン@はレベル3にアップグレードすることができます！
