tip_id,tip_name,tip_description
0,물리공격에 면역을 가진 적들,방어력이 높은 적은 궁수 와  대포로부터 피해를 덜 입습니다.
1,마법공격에 면역을 가진 적들,용은 마법방어력을 가진 적에게는 효과적이지 못합니다.
2,괴물이 날다.,궁수와 용만이 날아다니는 적을 공격할 수 있습니다.
3,명령만 내리시죠!,보병는 적절한 시간에 적절한 장소에 있어야 제대로 효과를 발휘합니다.
4,많을수록 좋은 법,강화된 타워는 적들을 더 빨리 제거할 수 있습니다.
5,조심하세요!,조심하세요!여러분의 생명력이 0이되면 패배합니다.
6,나는 부자가 될거야!,적이 쓰러지고나면 골드를 획득할 수 있습니다.
7,전략은 나의 힘,적의 약점을 노리기 위해 여러종류의 타워를 사용하세요.
8,전략은 나의 힘,적의 약점을 노리기 위해 여러종류의 타워를 사용하세요.
9,새로운 타워,"이제 궁수,대포그리고 마술 용 @ 은 이제 2단계까지 강화할 수 있습니다."
10,새로운 타워,"이제 궁수,대포 @ 는 이제 3단계까지 강화할 수 있습니다."
11,새로운 타워,이제 보병 @ 는 3단계까지 강화할 수 있습니다.
12,새로운 타워,이제 용 @ 은 3단계까지 강화할 수 있습니다.
