tip_id,tip_name,tip_description
0,Враги в доспехах,Враги в доспехах получают меньший урон от атак лучников и артиллеристов.
1,Устойчивость к магии,Драконы неэффективны против врагов с высокой устойчивостью к магии.
2,НЛО?,Только лучники и драконы могут нанести урон летающим врагам.
3,Жду приказаний!,"Рыцари принесут больше пользы, когда находятся в нужном месте и в нужное время!"
4,"Чем больше, тем лучше","Чем больше у нас союзников, тем быстрее мы победим всех врагов."
5,Будьте осторожны!,"Когда количество ваших жизней (сердец) достигнет 0, игра будет окончена!"
6,Путь к богатству,Враги оставляют золото после своего поражения.
7,Новая башня,"Применяйте разные виды башен, чтобы определить слабости ваших противников."
8,Новая башня,"Применяйте разные виды башен, чтобы определить слабости ваших противников."
9,Новая башня разблокирована,"Башни с лучниками, артиллеристами и волшебными драконами @ могут быть улучшены до уровня 2!"
10,Новая башня разблокирована,Башни с лучниками и артиллеристами @ могут быть улучшены до уровня 3!
11,Новая башня разблокирована,Пехота @ может быть улучшена до уровня 3!
12,Новая башня разблокирована,Волшебный дракон @ может быть улучшен до уровня 3!
