upgrade_id,upgrade_title,upgrade_description
0,Скидка на строительство и улучшение,Получите {0} % скидку на строительство и улучшение башен.
1,Увеличить дальность атаки 1,Увеличивает дальность атаки 1
2,Увеличить дальность атаки 2,Увеличивает дальность атаки 2
3,Увеличить скорость атаки 1,Увеличивает скорость атаки 1
4,Увеличить скорость атаки 2,Увеличивает скорость атаки 2
5,Вероятность воскрешения,"{0} % вероятность того, что пехота моментально оживёт."
6,Вероятность критического удара,Увеличивает на {0} % вероятность критического удара.
7,Вероятность игнорирования защиты,Увеличивает на {0} % вероятность игнорирования защиты.
8,Увеличить урон от атаки,Увеличивает на {0} урон от атаки.
9,Вероятность замедления,Увеличивает на {0} % вероятность замедлить врага во время атаки.
10,Вероятность замедления,Вероятность замедления.
11,Продолжительность замедления,Продолжительность замедления.
12,Увеличить физическую защиту пехоты,Увеличивает на {0} % физическую защиту пехоты.
13,Увеличить здоровье пехоты,Увеличивает на {0} максимальное количество здоровья пехоты.
