id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,WuKong,0,Coming Soon,Coming Soon,Soul Split,Ativa,Wukong convoca {0} clones com {1}% do poder de ataque de Wukong para ajudá-lo na batalha por um tempo limitado.,Desbloqueado.
0,WuKong,1,Coming Soon,Coming Soon,Fury Ruyi Bang,Passiva,"Wukong gira seu bastão, causando danos de {0}% aos inimigos próximos.",Desbloquear no nível 3.
0,WuKong,2,Coming Soon,Coming Soon,Esconderijo de ferro,Passiva,Reduza o dano causado pelos inimigos por {0}%.,Desbloquear no nível 6.
0,WuKong,3,Coming Soon,Coming Soon,Inflexível,Passiva,Aumenta a armadura de Wukong em {0}% para cada inimigo próximo.,Desbloquear no nível 8.
1,Ashi,0,Coming Soon,Coming Soon,Chuva,Ativa,"A chuva cristaliza as setas no local designado, infligindo dano de {0}.",Desbloqueado.
1,Ashi,1,Coming Soon,Coming Soon,Flecha Letal,Passiva,Tenha {0}% chance de explorar a fraqueza do inimigo disparando contra seus pontos críticos.,Desbloquear no nível 3.
1,Ashi,2,Coming Soon,Coming Soon,Tiro rápido,Passiva,"Ashi concentra seus sentidos, aumenta drasticamente a velocidade de ataque para {0} segundos.",Desbloquear no nível 6.
1,Ashi,3,Coming Soon,Coming Soon,Congelamento,Passiva,Libera esferas mágicas que retardam os inimigos por {0}%.,Desbloquear no nível 8.
2,Sir Galahad,0,Coming Soon,Coming Soon,Legião de Luz,Ativa,Convide um guardião celestial com {0}% do ataque de Galahad para defender inimigos e exterminá-los.,Desbloqueado.
2,Sir Galahad,1,Coming Soon,Coming Soon,Escudo sagrado,Passiva,"Quando atacado, tem uma chance moderada de aumentar a defesa de Galahad em {0}%.",Desbloquear no nível 3.
2,Sir Galahad,2,Coming Soon,Coming Soon,Zelo,Passiva,Acerte uma barra pesada a cada {0} ataques.,Desbloquear no nível 6.
2,Sir Galahad,3,Coming Soon,Coming Soon,Armageddon,Passiva,"Derruba sua espada no chão, infligindo dano a todos os inimigos no alcance e atordoando-os.",Desbloquear no nível 8.
3,Shaman King,0,Coming Soon,Coming Soon,Meteoro,Ativa,"Shaman King chega ao campo designado com um meteoro maciço, causando danos de {0}.",Desbloqueado.
