id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,悟空,0,Coming Soon,即将来临,分魂术,活动,悟空使用  {1}% 的攻击力召唤 {0} 个克隆在有限时间内帮助他参与战斗。,解锁
0,悟空,1,Coming Soon,即将来临,如意金箍棒,被动,悟空大力转动棒子，为四周敌人献上 {0}% 损害。,解锁第3关
0,悟空,2,Coming Soon,即将来临,铁皮,被动,减低敌人造成的 {0}% 伤害,解锁第6关
0,悟空,3,Coming Soon,即将来临,不屈不挠,被动,为每一个逼近悟空的敌人增加悟空的盔甲力 {0}%  ,解锁第8关
1,艾斯,0,Coming Soon,即将来临,阵雨术,活动,阵雨在指定位置结晶化箭头，造成 {0} 伤害。,解锁
1,艾斯,1,Coming Soon,即将来临,致命箭头,被动,拥有 {0}% 机会来通过射击敌人关键点攻击他们的弱点。,解锁第3关
1,艾斯,2,Coming Soon,即将来临,快速射击,被动,艾斯集中神志，大幅提高 {0} 秒的攻击速度。,解锁第6关
1,艾斯,3,Coming Soon,即将来临,冻疮,被动,释放魔法球来减慢敌人速度 {0}%  。,解锁第8关
2,加拉哈德大师,0,Coming Soon,即将来临,光的军团,活动,以 {0}% 的加拉哈德攻击术召唤天堂守护者来抵挡并消灭敌人。,解锁
2,加拉哈德大师,1,Coming Soon,即将来临,神圣盾牌,被动,攻击时，有 {0}% 的机会增加加拉哈德的防御力。,解锁第3关
2,加拉哈德大师,2,Coming Soon,即将来临,劲力,被动,每 {0} 个攻击发出一次严重砍击。,解锁第6关
2,加拉哈德大师,3,Coming Soon,即将来临,阿尔马盖敦,被动,将剑往地面上大力砸，造成范围内所有敌人 {0}% 的伤害并击昏他们。,解锁第8关
3,通灵王,0,Coming Soon,即将来临,流星,活动,通灵王在指定范围释放大量流星，造成 {0} 伤害。,解锁
3,通灵王,1,Coming Soon,即将来临,集中力,被动,大幅加强通灵王 {0} 的攻击速度和以激增的神奇力量造成 {1} 的伤害。,解锁第3关
3,通灵王,2,Coming Soon,即将来临,冻结王国,被动,冻结指定地点。路过此地的敌人被升起的尖锋刺伤，每秒接收 {0} 的伤害。,解锁第6关
3,通灵王,3,Coming Soon,即将来临,雷电光,被动,用雷电光炸毁该区域并电击范围内的敌人，造成 {0} 个伤害。,解锁第8关
4,熔岩傀儡,0,Coming Soon,即将来临,地震,活动,生产燃烧的巨石，击中地面行动的敌人并造成 {0} 伤害。,解锁
4,熔岩傀儡,1,Coming Soon,即将来临,容颜盔甲,被动,在 {0} 秒内消除所有伤害。,解锁第3关
4,熔岩傀儡,2,Coming Soon,即将来临,熔岩拳,被动,赐傀儡 {0}% 机会以平常的攻击击中敌人。,解锁第6关
4,熔岩傀儡,3,Coming Soon,即将来临,精神鼓舞,被动,傀儡用它燃烧的热情激发所有盟友，让他们更加敏捷。盟友增加 {0} 速度。,解锁第8关
5,大自然女皇,0,Coming Soon,即将来临,愈合,活动,用 {0} 愈合分来治愈指定范围内的所有盟友。,解锁
5,大自然女皇,1,Coming Soon,即将来临,大自然召唤,被动,召唤大自然之母的力量来加强大自然女皇 {0}% 的攻击力。,解锁第3关
5,大自然女皇,2,Coming Soon,即将来临,魔抓藤蔓,被动,召唤森林藤蔓来伤害和在短时间内抓紧 {0} 敌人。,解锁第6关
5,大自然女皇,3,Coming Soon,即将来临,劫难,被动,射出 {0} 个尖矛来追击正在撤退的敌人。,解锁第8关
6,Thor,0,Coming Soon,Coming Soon,Lightning Rod,Active,"Lightning strikes from the sky, stunning all enemies for {0}s.",Unlocked.
