id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,WuKong,0,Coming Soon,Coming Soon,Seelenspaltung,Aktiv,"Wukong beschwört {0} Klone mit {1}% von Wukongs Angriffskraft, um ihn für eine begrenzte Zeit im Kampf zu unterstützen.",Freigeschaltet.
0,WuKong,1,Coming Soon,Coming Soon,Fury Ruyi Bang,Passiv,Wukong dreht seinen Stab weit und verursacht {0}% Schaden an Gegnern in der Nähe.,Ab Level 3 freigeschaltet
0,WuKong,2,Coming Soon,Coming Soon,Eisenhaut,Passiv,Verringert den von Gegnern erlittenen Schaden um {0}%.,Ab Level 6 freigeschaltet
0,WuKong,3,Coming Soon,Coming Soon,Unschlagbar,Passiv,Erhöht die Rüstung von Wukong um {0}% für jeden Gegner in der Nähe.,Ab Level 8 freigeschaltet
1,Ashi,0,Coming Soon,Coming Soon,Lass es regnen,Aktiv,Regen kristallisierte Pfeile entlang der angegebenen Position und verursachte {0} Schaden.,Freigeschaltet.
1,Ashi,1,Coming Soon,Coming Soon,Tödlicher Pfeil,Passiv,"Haben Sie {0}% Chance, die Schwäche des Gegners auszunutzen, indem Sie seine kritischen Punkte abschießen.",Ab Level 3 freigeschaltet
1,Ashi,2,Coming Soon,Coming Soon,Schneller Schuss,Passiv,"Ashi fokussiert ihre Sinne, erhöht das Angriffstempo für {0} Sekunden drastisch.",Ab Level 6 freigeschaltet
1,Ashi,3,Coming Soon,Coming Soon,Frostbeule,Passiv,"Löst magische Sphären aus, die Feinde um {0}% verlangsamen.",Ab Level 8 freigeschaltet
2,Sir Galahad,0,Coming Soon,Coming Soon,Legion des Lichts,Aktiv,"Rufe einen himmlischen Wächter mit {0}% von Galahads Angriff an, um Feinde abzuwehren und sie zu vernichten.",Freigeschaltet.
2,Sir Galahad,1,Coming Soon,Coming Soon,Heiliges Schild,Passiv,"Wenn er angegriffen wird, hat er eine moderate Chance, Galahads Verteidigung um {0}% zu erhöhen.",Ab Level 3 freigeschaltet
2,Sir Galahad,2,Coming Soon,Coming Soon,Eifer,Passiv,Liefert einen starken Schrägstrich bei allen {0} Angriffen.,Ab Level 6 freigeschaltet
2,Sir Galahad,3,Coming Soon,Coming Soon,Armageddon,Passiv,"Zerschlägt sein Schwert zu Boden, fügt allen Gegnern in Reichweite {0} Schaden zu und betäubt sie.",Ab Level 8 freigeschaltet
3,Shaman King,0,Coming Soon,Coming Soon,Meteor,Aktiv,Der Schamanenkönig schüttet das vorgesehene Feld mit einem massiven Meteor aus und verursacht {0} Schaden.,Freigeschaltet.
3,Shaman King,1,Coming Soon,Coming Soon,Konzentration,Passiv,Erhöht das Angriffstempo des Schamanenkönigs um {0} und den Schaden um {1} mit einer Welle magischer Kraft.,Ab Level 3 freigeschaltet
3,Shaman King,2,Coming Soon,Coming Soon,Gefrorenes Königreich,Passiv,friert den Zielort ein. Vorbeiziehende Gegner werden durch die aufsteigenden Spikes geschädigt und erhalten jede Sekunde {0} Schaden.,Ab Level 6 freigeschaltet
3,Shaman King,3,Coming Soon,Coming Soon,Blitzschlag,Passiv,"Sprengen Sie das Gebiet mit Blitzgeysiren in die Luft, die Feinde in Reichweite mit Stromschlag töten und dabei {0} Schaden anrichten.",Ab Level 8 freigeschaltet
4,Lava Golem,0,Coming Soon,Coming Soon,Erdbeben,Aktiv,"Erzeugt zahlreiche flammende Felsbrocken, atemberaubende, bodengebundene Feinde und fügt {0} Schaden zu.",Freigeschaltet.
4,Lava Golem,1,Coming Soon,Coming Soon,Lava Rüstung,Passiv,Negiert alle empfangenen Schäden innerhalb von {0} Sekunden.,Ab Level 3 freigeschaltet
4,Lava Golem,2,Coming Soon,Coming Soon,Lavaschlag,Passiv,"Gewährt Golem {0}% Chance, die Feinde mit normalem Angriff zu betäuben.",Ab Level 6 freigeschaltet
4,Lava Golem,3,Coming Soon,Coming Soon,Erwecken,Passiv,Golem inspiriert alle Verbündeten mit seiner brennenden Leidenschaft und macht sie agiler. Verbündete gewinnen {0} Geschwindigkeit.,Ab Level 8 freigeschaltet
5,Nature Queen,0,Coming Soon,Coming Soon,Heilen,Aktiv,Heilen Sie alle Verbündeten innerhalb des Zielradius für {0} PS.,Freigeschaltet.
5,Nature Queen,1,Coming Soon,Coming Soon,Ruf der Natur,Passiv,"Rufen Sie die Kraft von Mutter Erde hervor, um den Angriff der Natürlichen Königin um {0} Punkte zu verstärken.",Ab Level 3 freigeschaltet
5,Nature Queen,2,Coming Soon,Coming Soon,Greifende Wurzeln,Passiv,"Beschwörung von Waldreben, die in kurzer Zeit Schaden anrichten und Feinde verwurzeln {0}.",Ab Level 6 freigeschaltet
5,Nature Queen,3,Coming Soon,Coming Soon,Katastrophe,Passiv,"Schiesst {0} Zielsuchspitzen, die hinter den zurückweichenden Feinden herjagen.",Ab Level 8 freigeschaltet
6,Thor,0,Coming Soon,Coming Soon,Lightning Rod,Active,"Lightning strikes from the sky, stunning all enemies for {0}s.",Unlocked.
6,Thor,1,Coming Soon,Coming Soon,Call of the king,Passive,Increases all allies' attack power by {0}% for {1}s.,Unlock at level 3.
6,Thor,2,Coming Soon,Coming Soon,Shazam,Passive,"Electrifies his surrounding with lightning bolts, dealing {0} damage to nearby enemies.",Unlock at level 6.
