id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,悟空,0,近日公開,近日公開,ソウルスプリット,アクティブ,悟空召喚限られた時間のための戦いで彼を支援するための悟空の攻撃力の{1}％と{0}のクローン。,ロック解除されました。
0,悟空,1,近日公開,近日公開,フューリー如意バン,受動的,悟空は近くの敵に{0}％のダメージを与え、広く彼のスタッフを回転させます。,レベル3でロックを解除します。
0,悟空,2,近日公開,近日公開,アイアン隠します,受動的,敵からのダメージを{0}％減少させる。,レベル6でロックを解除します。
0,悟空,3,近日公開,近日公開,きかん気,受動的,悟空のアーマーは、それぞれ近くに敵のために{0}％増加します。,レベル8でロックを解除します。
1,芦ノ湖,0,近日公開,近日公開,それは雨ください,アクティブ,雨は指定された場所の下で矢を結晶化させ、{0}のダメージを与える。,ロック解除されました。
1,芦ノ湖,1,近日公開,近日公開,リーサル・アロー,受動的,その臨界点を撮影して敵の弱点を悪用する{0}％の確率を持っています。,レベル3でロックを解除します。
1,芦ノ湖,2,近日公開,近日公開,迅速なショット,受動的,芦ノ湖が大幅{0}秒間攻撃速度を増加させ、彼女の感覚を焦点を当てています。,レベル6でロックを解除します。
1,芦ノ湖,3,近日公開,近日公開,凍傷,受動的,の敵を遅くリリース魔法球{0}％。,レベル8でロックを解除します。
2,ガラハッド卿,0,近日公開,近日公開,光の軍団,アクティブ,敵をかわすと、それらを駆除するためにガラハッドの攻撃の{0}％と天国の保護者呼びかけます。,ロック解除されました。
2,ガラハッド卿,1,近日公開,近日公開,聖なる盾,受動的,攻撃すると、{0}％でガラハッドの防衛を高めるために、適度なチャンスを持っています。,レベル3でロックを解除します。
2,ガラハッド卿,2,近日公開,近日公開,熱意,受動的,重スラッシュごとに{0}攻撃を届けます。,レベル6でロックを解除します。
2,ガラハッド卿,3,近日公開,近日公開,ハルマゲドン,受動的,範囲内のすべての敵に{0}ダメージを与え、地面に剣スマッシュし、それらを気絶させます。,レベル8でロックを解除します。
3,シャーマンキング,0,近日公開,近日公開,流星,アクティブ,シャーマンキングは、{0}の損害賠償を扱って、巨大な隕石で指定されたフィールドをシャワー。,ロック解除されました。
3,シャーマンキング,1,近日公開,近日公開,濃度,受動的,大幅{0}によってシャーマンキングの攻撃速度を向上させ、魔法の力のサージ{1}によってダメージ。,レベル3でロックを解除します。
3,シャーマンキング,2,近日公開,近日公開,冷凍王国,受動的,目標位置をフリーズ。 通過敵{0}損害毎秒を受け、上昇スパイクによって損傷されています。,レベル6でロックを解除します。
3,シャーマンキング,3,近日公開,近日公開,ライトニングスパーク,受動的,{0}のダメージを扱う、範囲内の敵を感電雷間欠泉と領域を爆破。,レベル8でロックを解除します。
4,ラヴァゴーレム,0,近日公開,近日公開,地震,アクティブ,多数の炎岩、見事な地上敵とあたえる{0}損害を生成します。,ロック解除されました。
4,ラヴァゴーレム,1,近日公開,近日公開,溶岩アーマー,受動的,受け取ったすべてのダメージを{0}秒以内に無効にします。,レベル3でロックを解除します。
4,ラヴァゴーレム,2,近日公開,近日公開,溶岩パンチ,受動的,通常攻撃で敵を気絶させるための補助金ゴーレム{0}％の確率。,レベル6でロックを解除します。
4,ラヴァゴーレム,3,近日公開,近日公開,元気,受動的,ゴーレムはそれらをより機敏作り、彼の燃える情熱を持って、すべての同盟国を鼓舞します。 連合軍は{0}速度を得ます。,レベル8でロックを解除します。
5,ネイチャークイーン,0,近日公開,近日公開,繕います,アクティブ,{0}馬力の目標半径内のすべての味方を回復させます。,ロック解除されました。
