id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,WuKong,0,Coming Soon,Coming Soon,Dzielenie Duszy,Aktywny,"Przywołuje {0} klonów z {1}% siły ataku Wukonga, aby pomóc mu w walce przez ograniczony czas.",Odblokowany.
0,WuKong,1,Coming Soon,Coming Soon,Wściekłe Walnięcie Ruyi,Pasywny,"Wukong oraz jego klony obracają swój kij wokół siebie,zadając {0}% obrażeń pobliskim wrogom.",Odblokuj na poziomie 3.
0,WuKong,2,Coming Soon,Coming Soon,Ukryte Żelazo,Pasywny,Zmniejsz obrażenia zadawane przez wrogów o {0}%.,Odblokuj na poziomie 6.
0,WuKong,3,Coming Soon,Coming Soon,Nieustępliwy,Pasywny,Zwiększ pancerz Wukonga o {0}% za każdego wroga w pobliżu.,Odblokuj na poziomie 8.
1,Ashi,0,Coming Soon,Coming Soon,"Spraw, Aby Padało",Aktywny,Spuść deszcz krystalicznych strzał w wybrane miejsce i zadaj {0} obrażeń.,Odblokowany.
1,Ashi,1,Coming Soon,Coming Soon,Śmiercionośna Strzała,Pasywny,"Otrzymuje {0}% szans na trafienie wroga w czuły punkt,zadając przy tym większe obrażenia.",Odblokuj na poziomie 3.
1,Ashi,2,Coming Soon,Coming Soon,Szybki Strzał,Pasywny,"Ashi wyostrza swe zmysły,drastycznie zwiększając szybkość ataku na {0} sekund.",Odblokuj na poziomie 6.
1,Ashi,3,Coming Soon,Coming Soon,Odmrożenie,Pasywny,"Wystrzeliwuje lodową strzałę,która spowalnia przeciwnika o {0}%.",Odblokuj na poziomie 8.
2,Sir Galahad,0,Coming Soon,Coming Soon,Legion Światła,Aktywny,"Wzywa niebiańskiego strażnika z {0}% ataku Galahad, aby odeprzeć wrogów i ich wytępić.",Odblokowany.
2,Sir Galahad,1,Coming Soon,Coming Soon,Święta Tarcza,Pasywny,"Kiedy Galahad zostanie zaatakowany,ma szansę zwiększyć swój pancerz o {0}%",Odblokuj na poziomie 3.
2,Sir Galahad,2,Coming Soon,Coming Soon,Zapał,Pasywny,Zadaje ostre cięcie co {0} atak.,Odblokuj na poziomie 6.
2,Sir Galahad,3,Coming Soon,Coming Soon,Armagedon,Pasywny,"Uderza swym mieczem o ziemię, zadając {0} obrażenia wszystkim wrogom w zasięgu i ogłuszając ich.",Odblokuj na poziomie 8.
3,Shaman King,0,Coming Soon,Coming Soon,Meteor,Aktywny,"Król Szamanów zasypuje wyznaczone pole ogromnym meteorem, zadając {0} obrażeń.",Odblokowany.
3,Shaman King,1,Coming Soon,Coming Soon,Koncentracja,Pasywny,Znacznie zwiększa szybkość ataku Króla Szamanów o {0} oraz obrażenia o {1} dzięki potężnej magicznej mocy.,Odblokuj na poziomie 3.
3,Shaman King,2,Coming Soon,Coming Soon,Zamarznięte Królestwo,Pasywny,Zamraża wybraną lokalizację. Przechodzący przez nią wrogowie otrzymają  {0} obrażeń co sekundę.,Odblokuj na poziomie 6.
