id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,WuKong,0,Coming Soon,Coming Soon,Разделение души,Активное,Укун призывает {0} клонов (обладающих {1}% силы атаки Укуна) которые ограниченное время помогают ему в сражении.,Разблокировано
0,WuKong,1,Coming Soon,Coming Soon,Посох ярости,Пассивное,"Укун вращает посох вокруг себя, нанося {0}% повреждения врагам, находящимся вблизи.",Разблокируется при уровне 3.
0,WuKong,2,Coming Soon,Coming Soon,Железная шкура,Пассивное,"Уменьшает урон, получаемый от врагов на {0}%.",Разблокируется при уровне 6.
0,WuKong,3,Coming Soon,Coming Soon,Непреклонность,Пассивное,"Увеличивает броню Укуна на {0}% для всех врагов, находящихся вблизи.",Разблокируется при уровне 8.
1,Ashi,0,Coming Soon,Coming Soon,Да будет дождь,Активное,"На выбранную местность обрушивается дождь из кристальных стрел, наносящий {0} урон.",Разблокировано
1,Ashi,1,Coming Soon,Coming Soon,Смертельная стрела,Пассивное,Вероятность {0}% поразить врага в наименее защищённое место.,Разблокируется при уровне 3.
1,Ashi,2,Coming Soon,Coming Soon,Частая стрельба,Пассивное,Аши концентрирует внимание и на {0} секунд увеличивает скорость атаки.,Разблокируется при уровне 6.
1,Ashi,3,Coming Soon,Coming Soon,Обморожение,Пассивное,"Вызывает магические сферы, которые замедляют врагов на {0}%.",Разблокируется при уровне 8.
2,Sir Galahad,0,Coming Soon,Coming Soon,Легион света,Активное,Призыв небесного хранителя (обладающего {0}% силы атаки Галаада) для уничтожения врагов.,Разблокировано
2,Sir Galahad,1,Coming Soon,Coming Soon,Святой щит,Пассивное,"Когда Галаад получает урон, его защита со средней вероятностью повысится на {0}%.",Разблокируется при уровне 3.
2,Sir Galahad,2,Coming Soon,Coming Soon,Рвение,Пассивное,Персонаж наносит сильный удар каждые {0} атак.,Разблокируется при уровне 6.
2,Sir Galahad,3,Coming Soon,Coming Soon,Армагеддон,Пассивное,"Персонаж бьёт мечом об землю, нанося {0} повреждения всем врагам вокруг себя и оглушая их.",Разблокируется при уровне 8.
3,Shaman King,0,Coming Soon,Coming Soon,Метеор,Активное,"Царь-шаман вызывает метеоритный дождь на выбранную местность, наносящий {0} повреждения.",Разблокировано
3,Shaman King,1,Coming Soon,Coming Soon,Концентрация,Пассивное,Магическая сила Царя-шамана увеличивает его скорость на {0} и силу атаки на {1}.,Разблокируется при уровне 3.
3,Shaman King,2,Coming Soon,Coming Soon,Ледяное царство,Пассивное,"Замораживает выбранную местность. Проходящие враги поражаются ледяными пиками, получая {0} урон каждую секунду",Разблокируется при уровне 6.
3,Shaman King,3,Coming Soon,Coming Soon,Разряд молнии,Пассивное,"Поражает врагов, находящихся на выбранной местности, электрическими разрядами, нанося {0} урон.",Разблокируется при уровне 8.
4,Lava Golem,0,Coming Soon,Coming Soon,Землетрясение,Активное,"Огненные валуны поражают и оглушают врагов, находящихся на земле, нанося {0} урон.",Разблокировано
