id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,WuKong,0,Coming Soon,Coming Soon,Soul Split,Activa,Wukong invoca {0} clones con {1}% del poder de ataque de Wukong para ayudarlo en la batalla por un tiempo limitado.,Desbloqueada
0,WuKong,1,Coming Soon,Coming Soon,Banda Furiosa de Ruyi,Pasiva,"Wukong hace girar su bastón ampliamente, infligiendo un {0}% de daño a los enemigos cercanos.",Desbloqueada al nivel 3
0,WuKong,2,Coming Soon,Coming Soon,Hierro traspuesto,Pasiva,Reduce el daño recibido de los enemigos en {0}%.,Desbloqueada al nivel 6
0,WuKong,3,Coming Soon,Coming Soon,Inflexible,Pasiva,Aumenta la Armadura de Wukong en un {0}% por cada enemigo cercano.,Desbloqueada al nivel 8
1,Ashi,0,Coming Soon,Coming Soon,Que venga la lluvia,Activa,"La lluvia cristalizó las flechas en la ubicación designada, infligiendo {0} de daño.",Desbloqueada
1,Ashi,1,Coming Soon,Coming Soon,Flecha letal,Pasiva,Tiene un {0}% de posibilidades de explotar la debilidad del enemigo disparandoles en sus puntos críticos.,Desbloqueada al nivel 3
1,Ashi,2,Coming Soon,Coming Soon,Disparo rápido,Pasiva,"Ashi enfoca sus sentidos, aumenta drásticamente la velocidad de ataque por {0} segundos.",Desbloqueada al nivel 6
1,Ashi,3,Coming Soon,Coming Soon,Mordida gelida,Pasiva,Lanza esferas mágicas que ralentizan a los enemigos en {0}%.,Desbloqueada al nivel 8
2,Sir Galahad,0,Coming Soon,Coming Soon,Legion de la luz,Activa,Llama a un guardián celestial con el {0}% del ataque de Galahad para defenderse de los enemigos y exterminarlos.,Desbloqueada
2,Sir Galahad,1,Coming Soon,Coming Soon,Escudo sagrado,Pasiva,"Cuando es atacado, tiene una posibilidad moderada de aumentar la defensa de Galahad en {0}%.",Desbloqueada al nivel 3
2,Sir Galahad,2,Coming Soon,Coming Soon,Entusiasmo,Pasiva,Lanza una barra gruesa cada {0} ataque.,Desbloqueada al nivel 6
2,Sir Galahad,3,Coming Soon,Coming Soon,Armageddon,Pasiva,"Arroja su espada al suelo, inflige {0} de daño a todos los enemigos al alcance y los aturde.",Desbloqueada al nivel 8
3,Shaman King,0,Coming Soon,Coming Soon,Meteoro,Activa,"El Rey Chamán irriga el campo designado con un meteoro masivo, que causa {0} daños.",Desbloqueada
3,Shaman King,1,Coming Soon,Coming Soon,Concentracion,Pasiva,Mejora enormemente la velocidad de ataque del Rey Chamán por {0} y el daño por {1} con un aumento de poder mágico.,Desbloqueada al nivel 3
3,Shaman King,2,Coming Soon,Coming Soon,Reino gelido,Pasiva,"Congela la ubicación de destino. Los picos ascendentes lesionan a los enemigos que pasan, recibiendo {0} daños por segundo.",Desbloqueada al nivel 6
3,Shaman King,3,Coming Soon,Coming Soon,Chispa relampago,Pasiva,"Explota la zona con géiseres de relámpagos que electrocutan a los enemigos al alcance, causando daños de {0}.",Desbloqueada al nivel 8
4,Lava Golem,0,Coming Soon,Coming Soon,Terremoto,Activa,"Engendra numerosos cantos rodados llameantes, impresionantes enemigos terrestres e inflige {0} daños.",Desbloqueada
4,Lava Golem,1,Coming Soon,Coming Soon,Armadura de lava,Pasiva,Niega todo el daño recibido dentro de {0} segundos.,Desbloqueada al nivel 3
4,Lava Golem,2,Coming Soon,Coming Soon,Golpe de lava,Pasiva,Otorga a Golem {0}% de probabilidad de aturdir a los enemigos con un ataque normal.,Desbloqueada al nivel 6
4,Lava Golem,3,Coming Soon,Coming Soon,Vogirizado,Pasiva,"Golem inspira a todos los aliados con su pasión ardiente, haciéndolos más ágiles. Los aliados ganan {0} velocidad.",Desbloqueada al nivel 8
5,Nature Queen,0,Coming Soon,Coming Soon,Arreglar,Activa,Sana a todos los aliados dentro del radio objetivo de {0} hp.,Desbloqueada
5,Nature Queen,1,Coming Soon,Coming Soon,Llamado de la naturaleza,Pasiva,Llama al poder de la Madre Tierra para aumentar el ataque de la Reina de la Naturaleza en {0} puntos.,Desbloqueada al nivel 3
5,Nature Queen,2,Coming Soon,Coming Soon,Tomando raices,Pasiva,Invoca vides de bosque que dañan y roban {0} enemigos en una corta duración.,Desbloqueada al nivel 6
5,Nature Queen,3,Coming Soon,Coming Soon,Catastrofe,Pasiva,Dispara {0} lanzas de orientación que persiguen a los enemigos en retirada.,Desbloqueada al nivel 8
6,Thor,0,Coming Soon,Coming Soon,Lightning Rod,Active,"Lightning strikes from the sky, stunning all enemies for {0}s.",Unlocked.
6,Thor,1,Coming Soon,Coming Soon,Call of the king,Passive,Increases all allies' attack power by {0}% for {1}s.,Unlock at level 3.
6,Thor,2,Coming Soon,Coming Soon,Shazam,Passive,"Electrifies his surrounding with lightning bolts, dealing {0} damage to nearby enemies.",Unlock at level 6.
6,Thor,3,Coming Soon,Coming Soon,Sky Fall,Passive,"Electrocutes the nearest flying opponent, dealing {0} damage.",Unlock at level 8.
7,Ninja Assassin,0,Coming Soon,Coming Soon,Omnislash,Active,"Blinks to the enemies location and assaults them, dealing {0} penetration damage.",Unlocked.
