id,name,skill_id,short_description,full_description,skill_name,skill_type,skill_description,skill_unlock
0,Wukong,0,Tôn Ngộ Không biết được 72 phép biến hóa,Theo truyền thuyết Ngộ Không sinh ra từ một hòn đá và đã học được nhiều thần thông biến hóa và võ công.,Phân Thân,Kích hoạt,Wukong gọi ra {0} bóng của chính mình với sát thương bằng {1}% Wukong,Đã mở khóa
0,Wukong,1,Tôn Ngộ Không biết được 72 phép biến hóa,Theo truyền thuyết Ngộ Không sinh ra từ một hòn đá và đã học được nhiều thần thông biến hóa và võ công.,Kim Cô Bổng Pháp,Bị động,Điên loạn xoay kim cô bổng gây {0} sát thương lan,Mở khóa khi lên cấp 3.
0,Wukong,2,Tôn Ngộ Không biết được 72 phép biến hóa,Theo truyền thuyết Ngộ Không sinh ra từ một hòn đá và đã học được nhiều thần thông biến hóa và võ công.,Đại Lực,Bị động,Tăng cường {0}% giáp vật lý cho Wukong,Mở khóa khi lên cấp 6.
0,Wukong,3,Tôn Ngộ Không biết được 72 phép biến hóa,Theo truyền thuyết Ngộ Không sinh ra từ một hòn đá và đã học được nhiều thần thông biến hóa và võ công.,Tị Cốc,Bị động,Cộng thêm {0}% giáp vật lý bằng tổng số quái đứng gần hắn,Mở khóa khi lên cấp 8.
1,Ashi,0,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Vạn Tiễn Trận,Kích hoạt,"Tạo ra 1 đám mưa sao băng gây sát thương lan, mỗi mũi tên gây {0} sát thương",Đã mở khóa
1,Ashi,1,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Chú Tâm Tiễn,Bị động,Cơ hội {0}% bắn ra mũi tên gây chí mạng lên quái,Mở khóa khi lên cấp 3.
1,Ashi,2,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Liên Xạ Tiễn,Bị động,Bắn các mũi tên liên tục vào một kẻ thù trong {0} giây,Mở khóa khi lên cấp 6.
1,Ashi,3,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Ashi là một mộc tiên có nhiệm vụ bảo hộ rừng thiêng Mirkwood,Băng Cầu,Bị động,Bắn cầu phép làm chậm {0}% tốc độ di chuyển của kẻ thù,Mở khóa khi lên cấp 8.
2,Sir Galahad,0,Sir Galahad short description,Sir Galahad full description,Hộ Vệ Ánh Sáng,Kích hoạt,Triệu hồi người đá ánh sáng khổng lồ với sát thương bằng {0}% Galahad,Đã mở khóa
2,Sir Galahad,1,Sir Galahad short description,Sir Galahad full description,Khiên Thần Thánh,Bị động,Có khả năng kích hoạt khiên thần thánh giảm {0}% các đòn tấn công vật lí khi bị tấn công,Mở khóa khi lên cấp 3.
2,Sir Galahad,2,Sir Galahad short description,Sir Galahad full description,Cuồng Kiếm,Bị động,Sinh ra một chuỗi combo tấn công kẻ địch mỗi {0} đòn đánh thường,Mở khóa khi lên cấp 6.
2,Sir Galahad,3,Sir Galahad short description,Sir Galahad full description,Thánh Kiếm,Bị động,Dùng đại kiếm tấn công mặt đất gây {0} sát thương lan và làm choáng kẻ địch trong phạm vi,Mở khóa khi lên cấp 8.
3,Shaman King,0,Shaman King short description,Shaman King full description,Sun Meteor,Kích hoạt,"Ném một quả cầu nham thạch xuống đất, gây {0} sát thương lan",Đã mở khóa
3,Shaman King,1,Shaman King short description,Shaman King full description,Train Spirit,Bị động,Tăng cường {0} tốc độ tấn công và {1} sát thương trong 1 khoảng thời gian.,Mở khóa khi lên cấp 3.
3,Shaman King,2,Shaman King short description,Shaman King full description,Ice Wall,Bị động,Tạo tường băng làm chậm và gây {0} sát thương mỗi giây cho kẻ địch,Mở khóa khi lên cấp 6.
3,Shaman King,3,Shaman King short description,Shaman King full description,Sun Anger,Bị động,Hội tụ năng lượng từ mặt trời gây {0} sát thương cho kẻ địch trên diện rộng,Mở khóa khi lên cấp 8.
