noti_id,noti_content,note
0,Sim,
1,Não,
2,Cancelar,
3,Ok,
4,Sem dono. Comprar herói?,
5,VOCÊ ESTÁ PRONTO PARA IR!,
6,ESCOLHA AO MENOS UM HERÓI PARA COMEÇAR!,
7,Compra,
8,Desbloquear,
9,Atualizar,
10,Restabelecer,
11,Você tem certeza de que quer sair?,
12,Repetir a batalha?,
13,Sair,
14,Replay,
15,Desbloquear no nível,
16,Alcance máximo alcançado!,
17,Você não tem mais chances. Pegue mais!,
18,Adicione mais 3 chances,
19,Anúncio de vídeo não disponível,
20,Não há gema suficiente,
21,Você ganhou {0} Gema(s) @ Deixando a batalha você perderá todas as Gemas adquiridas.,
22,GRATÍS,
23,Uma vez por nível!,
24,Apenas uma vez!,
25,Jogue Daily Trial para obter mais recompensas!,
26,Use seus heróis e itens com sabedoria @ para superar os desafios.,
27,Parabéns! @ Você ganhou 3 tesouros. @ Um baú será dado após a primeira conclusão de cada mapa.,
28,Veja anúncios ou compre Gem para obter mais chances de obter Lucky Boxes que contêm itens valiosos!,
29,Você pode receber um Herói de Lucky Boxes.,
30,Avance ainda mais com a ajuda dessas torres!,
31,Toque novamente para começar,
32,Item recebido,
33,Toque para jogar,
34,Heróis,
35,Atualizar,
36,Loja,
37,Guia,
38,Gema grátis,
39,Pacote de Inicialização,
40,Pacote Especial,
41,Missão Diária,
42,SFX,
43,Música,
44,Vibração,
45,Mais jogos,
46,Fanpage,
47,Nos avalie,
48,Compre agora,
49,Gema,
50,Itens,
51,Habilidades,
52,Jogue agora,
53,Dia,
54,Ver oferta,
55,Vamos,
56,Próximo @World,
57,Fácil,
58,Normal,
59,Difícil,
60,Agora não,
61,Resultado,
62,Passado,
63,Onda,
64,Continuar,
65,Nenhum,
66,Baixo,
67,Médio,
68,Alto,
69,S.Alto,
70,Lento,
71,Normal,
72,Rápido,
73,S.Rápido,
74,Curto,
75,Longo,
76,S.Longo,
77,Inimigos,
78,Torres,
79,Dicas,
80,Recursos gratuitos,
81,Ver anúncios,
82,Entrar,
83,Convite,
84,Participar,
85,Compartilhar,
86,Curtir,
87,COMPRE NA LOJA,
88,Obter de graça,
89,Uma vez por dia!,
90,Novo Inimigo,
91,Torre Nova,
92,Dicas,
93,Bônus,
94,Assistir,
95,Pular,
96,Lucky Boxes,
97,Chance (s) sobrando,
98,Auto,
99,Próximo,
100,Anterior,
101,Recompensas aleatórias,
102,Obter,
103,Mais,
104,Onda concluída,
105,Onda de entrada,
106,TAXA,
107,Curtindo Kingdom Defense?,
108,Uma avaliação 5 estrelas realmente nos ajudaria! Obrigado por seu apoio! :),
109,Como você avaliaria Kingdom Defense?,
110,FEEDBACKS,
111,Gostaríamos muito de ouvir de você. Como devemos melhorar Kingdom Defense para merecer sua classificação 5 estrelas?,
112,Envia-nos um email,
113,Instalar,
114,Obrigado pela sua avaliação!,
115,Alcance o nível máximo para desbloquear o Animal!,
116,Herói ainda não é propriedade!,
117,Tenho 1 ponto de habilidade!,
118,Conecte-se à Internet para usar GiftCode,
119,Erro de rede,
120,Giftcode não pode estar vazio,
121,Giftcode expirou,
122,Herói já possuiu!,
123,CÓDIGO DE PRESENTE,
124,Digite seu código de presente,
125,Perfil de usuário ,
126,Entrar ,
127,Entrar ,
128,Sair ,
129,Dados de backup ,
130,Restaurar dados ,
131,Seus dados da nuvem serão sobrescritos. Você quer continuar? ,
132,Your data has been saved successfully!,
133,Seus dados foram salvos com sucesso! ,
134,Conexão com a Internet necessária ,
135,Your data has been restored successfully!,
136,Seus dados foram restaurados com sucesso! ,
137,ID do usuário ,
138,Mundo Desbloqueado ,
139,Mapa passado ,
140,Progresso de Julgamento Diário ,
141,Heróis de propriedade ,
142,Ultimo Back up ,
143,Estatísticas ,
144,Nuvem ,
145,O nome não pode estar vazio! ,
146,Mudar seu nome custará 50 gemas ,
147,Seu nome ,
148,Mudar de região ,
149,Você ainda não teve dados na nuvem. @ Você precisa fazer o backup primeiro! ,
150,Tempo limite de conexão. @Por favor, tente novamente mais tarde!,
151,Privacy Policy,
