noti_id,noti_content,note
0,Oui,
1,Non,
2,Annuler,
3,OK,
4,Ne lui appartenant pas encore. Acheter des héros ?,
5,VOUS ÊTES PRET !,
6,CHOISIR AU MOINS UN HÉROS AU DÉBUT !,
7,Achat,
8,Déverrouiller,
9,Mise à niveau,
10,Remise à zéro,
11,Êtes-vous sûr de vouloir quitter ?,
12,Réessayer la bataille ?,
13,Quittez,
14,Replay,
15,Déverrouiller au niveau,
16,Niveau max atteint !,
17,Vous n’avez plus aucune chance. Obtenez plus !,
18,Ajouter plus de 3 chances,
19,Publicité vidéo non disponible,
20,Pas assez de Gem,
21,Vous avez gagné {0} Gem @ partir de la bataille vous fera perdre tous les Gems.,
22,GRATUIT,
23,Une fois par niveau !,
24,Une seule fois !,
25,Jouez tous les jours pour obtenir plus de récompenses !,
26,Utilisez votre héros et les objets judicieusement @ pour relever les défis.,
27,Félicitations ! @ Vous avez gagné 3 coffres au trésor. @ Un coffre gratuit sera donné lors de la première exécution de chaque carte.,
28,Regarder des annonces ou acheter des Gems pour plus de chances d'obtenir des boîtes de chance qui contiennent des objets de valeur !,
29,Vous pouvez recevoir un héros avec les boîtes de chance.,
30,Avancez encore plus loin avec l'aide de ces tours !,
31,Touchez à nouveau pour vous engager,
32,Article reçu,
33,Taper pour Jouer,
34,Héros,
35,Mise à niveau,
36,Magasin,
37,Guide,
38,Gem gratuit,
39,Démarrer le regroupement,
40,Regroupement spécial,
41,Essai quotidien,
42,SFX,
43,Musique,
44,Vibration,
45,Plus de jeux,
46,Fanpage,
47,Notez-nous,
48,Acheter maintenant,
49,Gem,
50,éléments,
51,Compétences,
52,Jouez maintenant,
53,Jour,
54,Regardez l’offre,
55,Allons-y,
56,Monde @suivant,
57,Facile,
58,Normal,
59,Difficile,
60,Pas maintenant,
61,Résultat,
62,Passé,
63,Vague,
64,Continuer,
65,Aucun,
66,Faible,
67,Moyen,
68,Haut,
69,Très haut,
70,Lent,
71,Normal,
72,Rapide,
73,Très rapide,
74,Court,
75,long,
76,Très long,
77,Ennemis,
78,Tours,
79,Conseils,
80,Ressources gratuites,
81,Regarder les annonces,
82,Ouvrir une session,
83,Inviter,
84,Rejoindre,
85,Partager,
86,Aimer,
87,ACHETER AU MAGASIN,
88,GRATUIT,
89,Une fois par jour !,
90,Nouvel ennemi,
91,Nouvelle tour,
92,Conseils,
93,Bonus,
94,Regarder,
95,Passer,
96,Boîtes de chance,
97,Chance(s) restantes,
98,Auto,
99,prochain,
100,Précédent,
101,Récompense aléatoire,
102,obtenir,
103,Plus,
104,Vague complète,
105,Vague entrante,
106,TAUX,
107,Aimez-vous Kingdom Defense ?,
108,Une note de 5 étoiles nous aiderait vraiment ! Merci pour votre soutien.,
109,Comment évaluez-vous Kingdom Defense ?,
110,COMMENTAIRES,
111,Nous serions ravis de vous entendre. Comment devrions-nous améliorer Kingdom Defense pour mériter votre cote de 5 étoiles?,
112,Envoyez-nous un email,
113,Installer,
114,Merci pour votre avis !,
115,Atteindre le niveau max pour déverrouiller un animal de compagnie !,
116,Le héro n’est pas encore propriétaire !,
117,Vous avez 1 point de compétences !,
118,Veuillez vous connecter à Internet pour utiliser Le code cadeau,
119,Erreur réseau,
120,Le code cadeau ne peut pas être vide,
121,Le code cadeau a expiré,
122,Le héro possède déjà !,
123,CODE CADEAU,
124,Veuillez entrer votre code cadeau,
125,Profil de l'utilisateur ,
126,S'identifier ,
127,S'identifier ,
128,Connectez - Out ,
129,Sauvegarder les données ,
130,Restaurer les données ,
131,Vos données de cloud seront écrasées. Voulez-vous continuer? ,
132,Vos données ont été enregistrées avec succès! ,
133,Connexion requise ,
134,Connexion Internet requise ,
135,Vos données ont été restaurées avec succès! ,
136,Vos données locales seront remplacées. Voulez-vous continuer? ,
137,Identifiant d'utilisateur ,
138,Monde débloqué ,
139,Carte transmise ,
140,Progression quotidienne du procès ,
141,Héros possédés ,
142,Dernière sauvegarde ,
143,Statistiques ,
144,Nuage ,
145,Le nom ne peut pas être vide! ,
146,Changer votre nom coûtera 50 gemmes ,
147,votre nom ,
148,Changer de région ,
149,Vous n'avez pas encore eu de données sur le cloud. @ Vous devez sauvegarder en premier! ,
150,délai d'attente de connexion. @Veuillez réessayer plus tard!,
151,Privacy Policy,
