noti_id,noti_content,note
0,Ja,
1,Nein,
2,Abbrechen,
3,OK,
4,Noch nicht im Besitz. Held kaufen?,
5,DU BIST BEREIT ZUM STARTEN!,
6,WÄHLE MINDESTENS EINEN HELDEN ZUM STARTEN AUS!,
7,Kaufen,
8,Entsperren,
9,Upgrade,
10,Zurücksetzen,
11,"Bist du sicher, dass du gehen willst?",
12,Kampf wiederholen?,
13,Beenden,
14,Wiederholung,
15,Entsperren auf Stufe,
16,Maximales Level erreicht!,
17,Du hast keine Chancen mehr. Hole dir noch mehr!,
18,Füge 3 weitere Chancen hinzu,
19,Videoanzeige nicht verfügbar,
20,Nicht genug Juwelen,
21,Du hast {0} Juwelen @ Verlassen der Schlacht verliert alle erworbenen Gem.,
22,KOSTENLOS,
23,Einmal pro Level!,
24,Nur einmalig!,
25,"Spiele den täglichen Trial, um mehr Belohnungen zu erhalten!",
26,"Benutze deine Helden und Gegenstände weise @, um Herausforderungen zu meistern.",
27,Herzlichen Glückwunsch! @ Du hast dir 3 Schatztruhen verdient. @ Eine kostenlose Truhe wird bei der ersten Fertigstellung jeder Karte gegeben.,
28,"Schaue dir Werbung an oder kaufe Edelsteine, um mehr Chancen zu haben, Glückskisten zu bekommen, die wertvolle Gegenstände enthalten!",
29,Du kannst einen Helden von Glückskisten erhalten.,
30,Mit Hilfe dieser Türme kannst du noch weiter vorankommen!,
31,"Tippe erneut auf die Taste, um die Funktion zu aktivieren.",
32,Artikel erhalten,
33,Tippen Sie auf Zum Abspielen,
34,Helden,
35,Upgrade,
36,Laden,
37,Leitfaden,
38,Kostenloser Juwel,
39,Starter-Paket,
40,Spezial-Paket,
41,Tägliche Probe,
42,SFX,
43,Musik,
44,Vibration,
45,Mehr Spiele,
46,Fanpage,
47,Bewerte uns,
48,Jetzt kaufen,
49,Edelstein,
50,Artikel,
51,Fähigkeiten,
52,Jetzt spielen,
53,Tag,
54,Angebot ansehen,
55,Los geht's,
56,Nächste @Welt,
57,Einfach,
58,Normal,
59,Hart,
60,Nicht jetzt,
61,Ergebnis,
62,Bestanden,
63,Welle,
64,Weitermachen,
65,Keine,
66,Niedrig,
67,Mittel,
68,Hoch,
69,Sehr Hoch,
70,Langsam,
71,Normal,
72,Schnell,
73,Sehr Schnell,
74,Kurz,
75,Lang,
76,Sehr Lang,
77,Feinde,
78,Türme,
79,Tipps,
80,Kostenlose Ressourcen,
81,Anzeigen ansehen,
82,Anmelden,
83,Einladen,
84,Beitreten,
85,Teilen,
86,Like,
87,IM LADEN KAUFEN,
88,ERHALTE KOSTENLOSE,
89,Einmal täglich!,
90,Neuer Feind,
91,Neuer Turm,
92,Tipps,
93,Bonus,
94,Ansehen,
95,Überspringen,
96,Glückskisten,
97,Chance(en) übrig,
98,Auto,
99,Nächste,
100,Vorherige,
101,Zufällige Belohnungen,
102,Holen,
103,Mehr,
104,Abgeschlossene Welle,
105,Eingehende Welle,
106,BEWERTEN,
107,Genießen Sie Kingdom Defense?,
108,Eine 5-Sterne-Bewertung würde uns wirklich weiterhelfen! Vielen Dank für deine Unterstützung! :),
109,Wie würdest du Kingdom Defense bewerten?,
110,FEEDBACK,
111,"Wir würden uns freuen, von dir zu hören. Wie sollten wir Kingdom Defense verbessern, um deine 5-Sterne-Bewertung zu verdienen?",
112,Emaile uns,
113,Installieren,
114,Vielen Dank für Ihre Bewertung!,
115,"Erreiche die maximale Stufe, um Pet freizuschalten!",
116,Hero ist noch nicht im Besitz von Hero!,
117,Er hat 1 Fertigkeitspunkt!,
118,"Bitte stellen Sie eine Verbindung zum Internet her, um GiftCode zu verwenden.",
119,Netzwerkfehler,
120,Der Gutscheincode kann nicht leer sein.,
121,Geschenk-Code ist abgelaufen,
122,Hero bereits im Besitz!,
123,GIFTCODE,
124,Bitte geben Sie Ihren Geschenk-Code ein,
125,Benutzerprofil,
126,Einloggen,
127,Einloggen,
128,Ausloggen,
129,Backup-Daten,
130,Daten wiederherstellen,
131,Deine Cloud-Daten werden überschrieben. Möchtest du fortfahren?,
132,Deine Daten wurden erfolgreich gespeichert!,
133,Anmeldung erforderlich,
134,Internetverbindung erforderlich,
135,Deine Daten wurden erfolgreich wiederhergestellt!,
136,Deine lokalen Daten werden überschrieben. Möchtest du fortfahren?,
137,Benutzeridentifikation,
138,Welt freigeschaltet,
139,Karte bestanden,
140,Täglicher Probelauf,
141,Helden im Besitz,
142,Letzte Sicherung,
143,Statistiken,
144,Cloud,
145,Name darf nicht leer sein!,
146,Änderung deines Namens kostet 50 Edelsteine,
147,Dein Name,
148,Region ändern,
149,Turnier freigeschaltet! @ Las uns deine Fähigkeiten gegen andere Spieler @ testen und wertvolle Belohnungen gewinnen!,
150, Verbindungszeitüberschreitung. @Bitte versuche es später noch einmal !,
151,Privacy Policy,
