noti_id,noti_content,note
0,Tak,
1,Nie,
2,Anuluj,
3,OK,
4,Nie posiadasz tego bohatera. Czy chcesz go kupić?,
5,Jesteś gotowy do walki,
6,"Wybierz co najmniej jednego bohatera, by móc zacząć!",
7,Kup,
8,Odblokuj,
9,Ulepszenia,
10,Zresetuj,
11,Czy napewno chcesz wyjść?,
12,Potwórzyć walkę?,
13,Wyjdź,
14,Powtórz,
15,Odblokuj na poziomie,
16,Osiągnięto maksymalny poziom,
17,Skończyły Ci się próby. Zdobądź dodatkowe.,
18,Dodatkowe 3 próby,
19,Ten film jest niedostępny,
20,Zbyt mało diamentów,
21,"Zarobiłeś {0} diamentów @ Jeśli teraz wyjdziesz, stracisz je.",
22,Darmowy,
23,Jeden raz na poziom!,
24,Tylko raz!,
25,"Zagraj Codzienne Wyzwanie, aby zdobyć więcej nagród.",
26,Inteligentne użycie przedmiotów oraz bohaterów to klucz do sukcesu.,
27,Gratulacje! @ Zdobyłeś 3 skrzynie ze skarbami. @ Otrzymasz darmową skrzynię podczas pierwszego przejścia każdej mapy.,
28,"Oglądaj reklamy lub zakup diamenty,aby zwiększyć szansę na trafienie Szczęśliwych skrzyń, które zawierają cenne przedmioty!",
29,Możesz trafić bohaterów w Szczęśliwej skrzynce,
30,Zajdziesz dalej z pomocą tych wież,
31,"Dotknij jeszcze raz,aby przywołać",
32,Zdobyto przedmiot,
33,"Dotknij, Aby Zagrać",
34,Bohaterowie,
35,Ulepsz,
36,Sklep,
37,Przewodnik,
38,Darmowe diamenty,
39,Oferta startowa,
40,Oferta specjalna,
41,Codzienna próba,
42,Dźwięk,
43,Muzyka,
44,Wibracje,
45,Więcej gier,
46,Fanpage,
47,Oceń nas,
48,Kup teraz,
49,Diament,
50,Przedmioty,
51,Umiejętności,
52,Graj teraz,
53,Dzień,
54,Obejrzyj ofertę,
55,Naprzód!,
56,Nastepny świat,
57,Łatwy,
58,Normalny,
59,Trundy,
60,Nie teraz,
61,Wynik,
62,Ukończone,
63,Fala,
64,Kontynuuj,
65,Brak,
66,Niska,
67,Średnia,
68,Wysoka,
69,Bardzo wysoka,
70,Powolny,
71,Normalny,
72,Szybki,
73,Bardzo szybki,
74,Krótki,
75,Długi,
76,Bardzo długi,
77,Wrogowie,
78,Wieże,
79,Wskazówki,
80,Darmowe zasoby,
81,Oglądaj reklamy,
82,Zaloguj się,
83,Zaproś,
84,Dołącz,
85,Podziel się,
86,Polub,
87,KUP W SKLEPIE,
88,Zdobądź za darmo,
89,Jeden raz dziennie!,
90,Nowy wróg,
91,Nowa wieża,
92,Wskazówki,
93,Premia,
94,Obejrz,
95,Pomiń,
96,Szczęśliwe pudełka,
97,Pozostała szansa / Pozostałe szanse,
98,Automatycznie,
99,Kolejny,
100,Poprzedni,
101,Losowe nagrody,
102,Zdobądź,
103,Więcej,
104,Nadchodząca fala,
105,Nadchodząca fala,
106,Oceń,
107,Poboda Ci się Kingdom Defense?,
108,5 gwiazdkowa ocena bardzo by nam pomogła. Dziękujemy za wsparcie!,
109,Jak byś ocenił Kingdom Defense?,
110,Opinie,
111,"Chcemy usłyszeć, co musimy zrobić, aby otrzymać od Ciebie 5 gwiazdkową ocenę.",
112,Skontaktuj się z nami poprzez E-mail,
113,Zainstaluj,
114,Dziękujemy za twoją ocenę!,
115,"Osiągnij maksymalny poziom, aby odblokować zwierzątko!",
116,Bohater nie jest jeszcze własnością!,
117,Otrzymałeś 1 punkt umiejętności!,
118,"Połącz się z Internetem, aby użyć kodu podarunkowego",
119,Błąd Sieci,
120,Kod podarunkowy nie może być pusty,
121,Kod podarunkowy wygasł,
122,Bohater jest już własnością!,
123,KOD PODARUNKOWY,
124,Wpisz swój kod podarunkowy,
125,Perfil de usuário,
126,Entrar,
127,Entrar,
128,Sair,
129,Dados de backup,
130,Restaurar dados,
131,Seus dados da nuvem serão sobrescritos. Você quer continuar?,
132,Seus dados foram salvos com sucesso!,
133,Login requerido,
134,Conexão com a Internet necessária,
135,Seus dados foram restaurados com sucesso!,
136,Seus dados locais serão sobrescritos. Você quer continuar?,
137,ID do usuário,
138,Mundo Desbloqueado,
139,Mapa passado,
140,Progresso de Julgamento Diário,
141,Heróis de propriedade,
142,Ultimo Back up,
143,Estatísticas,
144,Nuvem,
145,O nome não pode estar vazio!,
146,Mudar seu nome custará 50 gemas,
147,Seu nome,
148,Mudar de região,
149,Nie masz jeszcze danych w chmurze. @ Najpierw trzeba wykonać kopię zapasową!,
150, Limit czasu połączenia. @Spróbuj ponownie później!,
151,Privacy Policy,
