noti_id,noti_content,note
0,Да,
1,Нет,
2,Отмена,
3,OK,
4,Ещё не приобретён. Купить героя?,
5,ТЕПЕРЬ ВЫ ГОТОВЫ К БИТВЕ!,
6,"ЧТОБЫ НАЧАТЬ, ВЫБЕРИТЕ ХОТЯ БЫ ОДНОГО ГЕРОЯ!",
7,Купить,
8,Разблокировать,
9,Улучшить,
10,Сброс,
11,Ещё не приобретён. Купить героя?,
12,Переиграть битву?,
13,Выход,
14,Переиграть,
15,Доступно при уровне,
16,Достигнут максимальный уровень!,
17,У вас закончились все попытки. Получите дополнительные!,
18,Получить 3 дополнительных попытки,
19,Рекламное видео недоступно,
20,Недостаточно Самоцветов,
21,"Вы получили {0} Самоцветов @ Покинув битву, вы теряете все полученные самоцветы.",
22,Бесплатно,
23,Один раз за уровень!,
24,Только один раз!,
25,Участвуйте в Ежедневных испытаниях и получайте больше призов!,
26,Мудро используйте героев и предметы @ и преодолевайте испытания.,
27,"Поздравляем! @ Вы получили 3 сундука с сокровищами. @ Вы будете получать сундук бесплатно каждый раз, когда проходите карту впервые.",
28,"Смотрите рекламу или покупайте Самоцветы, чтобы повысить вероятность получения Счастливого бокса с ценными предметами внутри!",
29,Вы можете найти Героя внутри Счастливого бокса.,
30,Эти башни помогут вам продвинуться дальше!,
31,"Коснитесь экрана, чтобы начать",
32,Полученные предметы,
33,"Коснитесь, чтобы играть",
34,Герои,
35,Улучшить,
36,Магазин,
37,Руководство,
38,Бесплатные Самоцветы,
39,Начальный набор,
40,Специальный набор,
41,Ежедневное испытание,
42,Звук,
43,Музыка,
44,Вибрация,
45,Больше игр,
46,Фан-клуб,
47,Оцените нас,
48,Купить сейчас,
49,Самоцвет,
50,Предметы,
51,Способности,
52,Играть сейчас,
53,День,
54,Посмотреть предложение,
55,Поехали!,
56,Следующий @Мир,
57,Легко,
58,Средне,
59,Сложно,
60,Не сейчас,
61,Результат,
62,Пройдено,
63,Волна,
64,Продолжить,
65,Нет,
66,Низкая,
67,Средняя,
68,Высокая,
69,Оч. высокая,
70,Медленно,
71,Средне,
72,Быстро,
73,Оч. быстро,
74,Близко,
75,Далеко,
76,Оч. далеко,
77,Враги,
78,Башни,
79,Подсказки,
80,Бесплатные ресурсы,
81,Смотреть рекламу,
82,Войти,
83,Пригласить,
84,Присоединиться,
85,Поделиться,
86,Нравится,
87,КУПИТЬ В МАГАЗИНЕ,
88,ПОЛУЧИТЬ БЕСПЛАТНО,
89,Один раз в день!,
90,Новый враг,
91,Новая башня,
92,Подсказки,
93,Бонус,
94,Смотреть,
95,Пропустить,
96,Счастливые боксы,
97,Попыток осталось,
98,Авто,
99,Следующее,
100,Предыдущее,
101,Случайная награда,
102,Получить,
103,Ещё,
104,Завершившаяся волна,
105,Следующая волна,
106,ОЦЕНИТЬ,
107,Вам нравится Kingdom Defense?,
108,"Поставив 5 звёзд, вы окажете нам неоценимую помощь! Спасибо за поддержку! :)",
109,Как бы вы оценили Kingdom Defense?,
110,ОТЗЫВЫ,
111,"Мы будем рады узнать ваше мнение. Какие улучшения нужно внести в Kingdom Defense, чтобы вы поставили 5 звёзд?",
112,Напишите нам Email,
113,Установить,
114,Спасибо за вашу оценку!,
115,"Получите максимальный уровень, чтобы разблокировать Питомца!",
116,Герой ещё не приобретён!,
117,Получено 1 очко умений!,
118,"Чтобы использовать Подарочный код, пожалуйста, подключитесь к Интернету",
119,Ошибка сети,
120,Поле Подарочного кода не может быть пустым,
121,Время действия подарочного кода истекло,
122,Данный герой уже приобретён!,
123,ПОДАРОЧНЫЙ КОД,
124,"Пожалуйста, введите ваш Подарочный код",
125,Профиль пользователя,
126,Войти,
127,Войти,
128,Выйти,
129,Резервное копирование,
130,Восстановить информацию,
131,Данные в облачном хранилище будут переписаны. Хотите продолжить?,
132,Данные были успешно сохранены!,
133,Необходима авторизация,
134,Необходимо подключение к интернету,
135,Данные были успешно восстановлены!,
136,Данные на вашем устройстве будут переписаны. Хотите продолжить?,
137,ID пользователя,
138,Мир разблокирован,
139,Карта пройдена,
140,Прогресс ежедневных испытаний,
141,Имеющиеся герои,
142,Последнее резервное копирование,
143,Статистика,
144,Облако,
145,Имя должно содержать символы!,
146,Смена имени будет стоить 50 самоцветов,
147,Ваше имя,
148,Смена региона,
149,Чемпионат разблокирован! Соревнуйтесь с другими игроками и выигрывайте ценные призы!,
150, таймаут соединения. @Пожалуйста, повторите попытку позже!,
151,Privacy Policy,
