noti_id,noti_content,note
0,Sí,
1,No,
2,Cancelar,
3,OK,
4,Aún no es propiedad. ¿Comprar héroe?,
5,¡ESTÁS LISTO PARA IR!,
6,¡SELECCIONA AL MENOS UN HÉROE PARA INICIAR!,
7,Comprar,
8,Desbloquear,
9,Subir de nivel,
10,Reiniciar,
11,¿estás seguro de salir?,
12,¿reintentar batalla?,
13,Salir,
14,Volver a jugar,
15,Desbloquear en nivel,
16,¡Máximo nivel alcanzado!,
17,No tienes ninguna oportunidad más. ¡Consigue más!,
18,Añade 3 oportunidades más,
19,Publicidad del video no disponible,
20,No hay gemas suficientes,
21,"Has ganado {0} gemas @ Al abandonar la batalla, perderás toda las Gemas adquiridas.",
22,GRATIS,
23,¡un tiempo por nivel!,
24,¡un tiempo solamente!,
25,¡Juega prueba diaria para obtener más recompensas!,
26,Utiliza a tus héroes y accesorios sabiamente @ para sobrepasar desafíos,
27,¡Felicitaciones! @ Has ganado 3 cofres del tesoro. @ Se te dará un cofre gratis una vez que completes por primera vez cada mapa.,
28,¡Mira los anuncios o compra gemas para tener más oportunidades de obtener Cajas afortunadas que contienen artículos valiosos!,
29,Puedes recibir un Héroe de las cajas afortunadas,
30,¡Avanza aún más con la ayuda estas torres!,
31,Pulsa de nuevo para enganchar,
32,Artículo recibido,
33,Pulsa para jugar,
34,Héroes,
35,Subir de nivel,
36,Tienda,
37,Guía,
38,Gema gratis,
39,Paquete de principiante,
40,Paquete especial,
41,Prueba diaria,
42,SFX,
43,Música,
44,Vibración,
45,Más juegos,
46,Fanpage,
47,Califícanos,
48,Compra ahora,
49,Gema,
50,Artículos,
51,Habilidades,
52,Juega ahora,
53,Día,
54,Ver oferta,
55,Vamos,
56,Siguiente @mundo,
57,Fácil,
58,Normal,
59,Díficil,
60,No ahora,
61,Resultados,
62,Pasar,
63,Ola,
64,Continuar,
65,Ninguno,
66,Bajo,
67,Medio,
68,Alto,
69,Super alto,
70,Lento,
71,Normal,
72,Rápido,
73,Super rápido,
74,Corto,
75,Largo,
76,Super largo,
77,Enemigos,
78,Torres,
79,Consejos,
80,Recursos gratis,
81,Ver anuncios,
82,Iniciar sesión,
83,Invitar,
84,Unete,
85,Comparte,
86,Me gusta,
87,COMPRAR EN TIENDA,
88,OBTEN GRATIS,
89,¡una vez al día!,
90,Nuevo enemigo,
91,Nueva torre,
92,Consejos,
93,Extra,
94,Ver,
95,Saltar,
96,Cajas afortunadas,
97,Oportunidad(es) restantes,
98,Auto,
99,Siguiente,
100,Anterior,
101,Recompensas aleatorias,
102,Obtener,
103,Más,
104,Ola completada,
105,Ola entrante,
106,CALIFICAR,
107,¿unirte a la defensa del castillo?,
108,¡una calificación de 5 estrellas realmente nos ayuda mucho! ¡Gracias por tu apoyo! :),
109,¿Cómo quisieras caliicar la defensa del reino?,
110,OPINIONES,
111,Nos encantaría escuchar de ti. ¿Cómo deberíamos mejorar La Defensa del Reino para merecer tu calificación de 5 estrellas?,
112,Envíanos un correo electrónico,
113,Instalar,
114,¡Gracias por su calificación!,
115,¡Alcance el nivel máximo para desbloquear Mascota!,
116,¡El héroe todavía no le pertenece!,
117,¡Obtuvo 1 punto de habilidad!,
118,Por favor conéctese al internet para usar el Código de Regalo,
119,Error de Red,
120,El Código de Regalo no puede estar vacío,
121,El Código de Regalo ha expirado,
122,¡El héroe ya le pertenece!,
123,CÓDIGO DE REGALO,
124,Por favor ingrese el código de regalo,
125,Perfil de Usuario,
126,Iniciar Sesión,
127,Iniciar Sesión,
128,Cerrar Sesión,
129,Información de Respaldo,
130,Restaurar Información,
131,La información de tu nube será sobreescrita. ¿Quieres continuar?,
132,¡Tu información ha sido guardada exitosamente!,
133,Inicio de sesión requerido,
134,Conexión a Internet requerida,
135,¡Tu información ha sido restaurada exitosamente!,
136,Tu información local será sobreescrita. ¿Quieres continuar?,
137,ID de Usuario ,
138,Mundo Desbloqueado,
139,Mapa Pasado,
140,Progreso de Prueba Diaria,
141,Héroes Poseídos,
142,Última Copia de Respaldo,
143,Estadísticas,
144,Nube,
145,¡El nombre no puede estar vacío!,
146,Cambiar tu nombre costará 50 gemas,
147,Tu nombre,
148,Cambiar región,
149,Aún no has tenido datos en la nube. @ ¡Primero debe hacer una copia de seguridad!,
150," tiempo de espera de conexión. @¡Por favor,  inténtelo de nuevo más tarde!",
151,Privacy Policy,
