level,id,text_tip_content
0,0,建立防御塔楼来驱走敌人，保护您的王朝。
0,1,英雄会在你身旁一同战斗。
0,2,.尽快在敌人行驶太远前击退它们。
1,0,步兵能阻挡敌人的前进路线。
1,1,炮手能造成涉及范围内的伤害。
1,2,使用累积星星来升级你的能力。
2,0,同时使用步兵和炮手来做最大化伤害。
2,1,魔法巨龙发射可怕的魔法球给敌人。
2,2,英雄以击退敌人来领取经验。
3,0,射手和魔法巨龙能攻击空中飞行的敌人。
3,1,为步兵升级能抵挡敌人更久。
3,2,你能在一场比赛最多带领3位英雄。
4,0,你能在英雄营升级以及购买新英雄。
4,1,射手和魔法巨龙能攻击空中飞行的敌人
4,2,射手的箭能击中快速移动的敌人。
5,0,冻结宝石冻结整个荧幕，让你有能够准备的空间。
5,1,提早召唤敌人以获得更好的金币，也重启所有英雄的技术冷却。
5,2,拥有最终升级的射手能以冷冻敌人的方式把它们的速度减慢。
6,0,魔术巨龙对付高身体抗力的敌人非常有效。
6,1,拥有最终升级的魔术巨龙能治愈邻近的盟友。
6,2,同时使用步兵和炮手来做最大化伤害。
7,0,为步兵升级能抵挡敌人更久。
7,1,你能在英雄营升级以及购买新英雄。
7,2,拥有最终升级的魔术巨龙能治愈邻近的盟友。
8,0,魔法巨龙发射可怕的魔法球给敌人。
8,1,.拥有最终升级的魔术巨龙能治愈邻近的盟友。
8,2,到访我们的粉丝专页来讨论策略和战术。
9,0,拥有最终升级的步兵能从远处攻击敌人。
9,1,为步兵升级能抵挡敌人更久。
9,2,.选择适合的英雄和塔楼对战绩有很大的影响。
10,0,花时间使用增加力量的物品来抵挡敌人。
10,1,你能在一场比赛最多带领3位英雄。
10,2,在英雄营使用宝石来升级英雄级别。
11,0,尽可能长时间将敌人抵制在同一个位置来击败它们。
11,1,再次挑战同样的地图来领取额外的经验。
11,2,在英雄营使用宝石来升级英雄级别。
12,0,提示：终极炮手能放慢一群敌人的速度。
13,0,提示：终极炮手能放慢一群敌人的速度。
14,0,提示：终极步兵能穿透防御，在对抗高防御里的敌人时非常有效。
15,0,提示：终极步兵能穿透防御，在对抗高防御里的敌人时非常有效。
16,0,提示：魔术巨龙发射直线型的激光束，在线型区域最有功效。
17,0,警告：大王区域。sing 用塔楼的最终力量来尽全力阻止它们。
