level,id,text_tip_content
0,0,防御的な塔を建てて敵を追い払い、あなたの王国を守ってください。
0,1,ヘルターはあなたのほかに戦います。
0,2,彼らがあまりにも遠くに移動する前に、できるだけ早く敵を倒すようにしてください。
1,0,歩兵は敵の道を塞ぐことができます。
1,1,大砲はAoEダメージを受けます。
1,2,累積した星を使用してスキルをアップグレードしてください。
2,0,歩兵と大砲の両方を使って被害を最大限にする。
2,1,マジックドラゴンは恐ろしい魔法の球体を敵に射殺する。
2,2,ヒーローはEXPを敵を倒すのを防ぎます。
3,0,射手と魔法のドラゴンが敵を攻撃することができます。
3,1,アップグレードされた歩兵は、敵をより長く保持することができます。
3,2,ゲームごとに最大3つのヒーローを取ることができます。
4,0,ヒーローキャンプで新しいブランドをアップグレードして購入できます。
4,1,射手と魔法のドラゴンが敵を攻撃することができます。
4,2,射手の矢は新鮮な敵を捕まえることができます。
5,0,冷凍保存は画面全体をフリーズさせ、部屋であなたを準備させます。
5,1,金の収入を上げるために敵を早く呼び、すべてのヒーローのスキルを冷やす。
5,2,究極のアップグレードを行っている弓兵は、凍結することで敵を減らすことができます。
6,0,マジックドラゴンは高い物理抵抗の敵に効果的です。
6,1,究極のアップグレードを搭載した第二の究極は近くの同盟国を治すことができます。
6,2,歩兵と大砲の両方を使って被害を最大限にする。
7,0,アップグレードされた歩兵は、敵をより長く保持することができます。
7,1,ヒーローキャンプで新しいブランドをアップグレードして購入できます。
7,2,究極のアップグレードを持つマジックドラゴンsは近くの同盟国を治すことができます。
8,0,マジックドラゴンは恐ろしい魔法の球体を敵に射殺する。
8,1,究極のアップグレードを持つマジックドラゴンsは近くの同盟国を治すことができます。
8,2,戦略と戦術について議論するためにファンページをご覧ください。
9,0,歩兵究極のアップグレードで遠くの敵を攻撃することができます。
9,1,アップグレードされた歩兵は、敵をより長く保持することができます。
9,2,適切な英雄と塔を選択することは結果に大きな影響を与えます。
10,0,パワーアップアイテムを使用して敵を避けるために時間をかけてください。
10,1,ゲームごとに最大3つのヒーローを取ることができます。
10,2,ヒーローキャンプの宝石でヒーローレベルをアップグレードする。
11,0,あなたが敵を倒すことができる限り、適所に敵を保つ。
11,1,追加のEXPのためにマップに再度挑戦してください。
11,2,ヒーローキャンプの宝石でヒーローレベルをアップグレードする。
12,0,ヒント：大砲の第二の究極は敵のグループを制圧することができます。
13,0,ヒント：大砲の第二の究極は敵のグループを制圧することができます。
14,0,ヒント：歩兵の2番目の究極体は防衛の必要があり、高い防衛陣の恩恵を受けています。
15,0,ヒント：歩兵の2番目の究極体は防衛の必要があり、高い防衛陣の恩恵を受けています。
16,0,ヒント：マジックドラゴンはレーザービームを直線で燃焼します。これは線形領域で最も効果的です。
17,0,警告：ボス領域。 タワーズアルティメットを使用して、あなたのすべての力でそれらを停止します。
