level,id,text_tip_content
0,0,타워를 배치하여 적을 처치하고 왕국을 지키십시오.
0,1,영웅들은 당신과 함께 싸울 것입니다!
0,2,적들이 너무 멀리 가버리기 전에 그들을 처치하십시오.
1,0,병사들은 적들의 앞길을 막을 수 있습니다.
1,1,대포타워는 광역 피해를 줄 수 있습니다.
1,2,모아둔 별을 이용해 당신의 능력을 강화하십시오.
2,0,병사들과 대포타워를 조합하여 피해를 극대화시키십시오.
2,1,드래곤은 강력한 마법의 창을 적들에게 선사합니다.
2,2,영웅들을 적을 쓰러뜨림으로써 경험치를 습득합니다.
3,0,궁수와 드래곤은 공중의 적을 공격할 수 있습니다.
3,1,강화된 병사들은 적을 더 오랫동안 붙들어 둘 수 있습니다.
3,2,영웅은 최대 3명까지 전장에 데려갈 수 있습니다.
4,0,영웅 캠프에서 새로운 영웅을 사거나 기존 영웅을 강화할 수 있습니다.
4,1,궁수와 드래곤은 공중의 적을 공격할 수 있습니다.
4,2,궁수의 화살은 빠른 적들을 공격하기에 유용합니다.
5,0,Frost Gem은 화면 전체를 얼려서 적을 대비할 시간을 만들어 줍니다.
5,1,적들을 빨리 소환하면 더 많은 골드를 얻을 수 있고 영웅들의 스킬 재사용 대기시간을 초기화시킬 수 있습니다.
5,2,궁극의 강화가 완료된 궁수들은 적들을 둔화시킬 수 있습니다.
6,0,드래곤은 높은 물리방어력을 가진 적에게 효과적입니다.
6,1,궁극의 강화가 완료된 드래곤은 주변의 아군을 치유합니다.
6,2,병사들과 대포타워를 조합하여 피해를 극대화시키십시오.
7,0,강화된 병사들은 적을 더 오랫동안 붙들어 둘 수 있습니다.
7,1,영웅 캠프에서 새로운 영웅을 사거나 기존 영웅을 강화할 수 있습니다.
7,2,궁극의 강화가 완료된 드래곤은 주변의 아군을 치유합니다.
8,0,드래곤은 강력한 마법의 창을 적들에게 선사합니다.
8,1,궁극의 강화가 완료된 드래곤은 주변의 아군을 치유합니다.
8,2,우리들의 페이스북을 방문하셔서 전술과 전략을 토론해주세요!
9,0,궁극의 강화가 완료된 병사들은 원거리에서 적을 공격할 수 있습니다.
9,1,강화된 병사들은 적을 더 오랫동안 붙들어 둘 수 있습니다.
9,2,잘 맞는 영웅과 타워를 사용하면 더 큰 효율을 낼 수 있습니다.
10,0,아이템을 사용해서 적들이 접근하지 못하게 하십시오.
10,1,영웅은 최대 3명까지 전장에 데려갈 수 있습니다.
10,2,영웅 캠프에서 보석을 사용해 영웅을 강화할 수 있습니다.
11,0,적들을 쓰러뜨리기 위해서는 적을 최대한 오랫동안 붙들어 두십시오.
11,1,클리어한 맵을 다시 해결하면 경험치를 얻을 수 있습니다.
11,2,영웅 캠프에서 보석을 사용해 영웅을 강화할 수 있습니다.
12,0,TIP: 폭병의 두번째 궁극기는 적을 느리게 만들 확률이 있습니다.
13,0,TIP: 폭병의 두번째 궁극기는 적을 느리게 만들 확률이 있습니다.
14,0,TIP: 보병들의 두번째 궁극기는 적의 방어력을 뚫은다. 방어력이 높은 적을 상대할때 쓰기 좋습니다.
15,0,TIP: 보병들의 두번째 궁극기는 적의 방어력을 뚫은다. 방어력이 높은 적을 상대할때 쓰기 좋습니다.
16,0,TIP: 마법의 용은 반듯한 레이저를 쏜다. 반듯한 곳에 쓰기 제일 좋습니다.
17,0,Warning: 보스 지역. 탑의 궁극지를 이용해 온 힘을 다해 보스를 막으세요.
