level,id,text_tip_content
0,0,"Постройте защитные башни, прогоните врагов и защитите ваше королевство."
0,1,Герои будут сражаться бок о бок с вами.
0,2,Старайтесь победить врагов как можно скорее. Не давайте им зайти слишком далеко.
1,0,Пехота может блокировать проход врагам.
1,1,Артиллеристы наносят урон по площади.
1,2,"Используйте накопленные звёзды, чтобы улучшать способности."
2,0,"Чтобы наносить врагам максимальный урон, используйте одновременно и пехоту, и артиллерию."
2,1,Волшебные драконы стреляют во врагов устрашающими магическими сферами.
2,2,"Побеждая врагов, герои получают очки опыта."
3,0,Лучники и волшебные драконы могут атаковать летающих врагов.
3,1,Улучшенная пехота может дольше сдерживать врагов.
3,2,В одном бою можно использовать до трёх героев.
4,0,Героев можно покупать и улучшать в лагере героев.
4,1,Лучники и волшебные драконы могут атаковать летающих врагов.
4,2,Стрелы лучников могут догнать быстрых врагов.
5,0,"Ледяные самоцветы замораживают врагов на всём экране, давая вам время на подготовку."
5,1,"Вызывает врагов раньше, что даёт возможность получить больше золота. Обнуляет перезарядку умений всех героев."
5,2,"Лучники с максимальным улучшением могут замедлять врагов, замораживая их."
6,0,Волшебные драконы эффективны против врагов с высокой физической устойчивостью.
6,1,Волшебные драконы с максимальным улучшением могут лечить ближайших союзников.
6,2,"Чтобы наносить врагам максимальный урон, используйте одновременно и пехоту, и артиллерию."
7,0,Улучшенная пехота может дольше сдерживать врагов.
7,1,Героев можно покупать и улучшать в лагере героев.
7,2,Волшебные драконы с максимальным улучшением могут лечить ближайших союзников.
8,0,Волшебные драконы стреляют во врагов устрашающими магическими сферами.
8,1,Волшебные драконы с максимальным улучшением могут лечить ближайших союзников.
8,2,"Посетите страничку нашего фанклуба, чтобы обсудить возможные стратегии и тактики."
9,0,Пехота с максимальным улучшением может атаковать врагов издали.
9,1,Улучшенная пехота может дольше сдерживать врагов.
9,2,От правильного выбора героев и башен зависит исход всего сражения.
10,0,Держите врагов на расстоянии с помощью предметов.
10,1,В одном бою можно использовать до трёх героев.
10,2,В лагере героев можно повысить уровень героев за самоцветы.
11,0,"Чтобы победить врагов, необходимо сдерживать их продвижение как можно дольше."
11,1,"Пройдите карту снова, чтобы получить дополнительные очки опыта."
11,2,В лагере героев можно повысить уровень героев за самоцветы.
12,0,ПОДСКАЗКА: Второе максимальное улучшение поможет Артиллеристу замедлять группы врагов.
13,0,ПОДСКАЗКА: Второе максимальное улучшение поможет Артиллеристу замедлять группы врагов.
14,0,ПОДСКАЗКА: Второе максимальное улучшение поможет Пехотинцу пробивать броню. Это пригодится против врагов с высокой защитой.
15,0,ПОДСКАЗКА: Второе максимальное улучшение поможет Пехотинцу пробивать броню. Это пригодится против врагов с высокой защитой.
16,0,ПОДСКАЗКА: Волшебный дракон стреляет лазерным лучом по прямой линии. Атака эффективна на открытых пространствах.
17,0,"Предупреждение: Арена босса. Остановите врагов, используя все свои силы и максимальные улучшения башен."
