id,level,name,type,short_description,description,unlock_description
0,0,射箭塔,具体攻击,攻击位于地面和空中的敌人，造成具体伤害。,攻击位于地面和空中的敌人，造成具体伤害。,晋级射箭塔第1级！
0,1,射箭塔,具体攻击,铜箭帮助加强攻击范围和提高伤害。,铜箭帮助加强攻击范围和提高伤害。,晋级射箭塔第2级！
0,2,射箭塔,具体攻击,备有钢箭，进一步提高伤害。,备有钢箭，进一步提高伤害。,晋级射箭塔第3级！
0,3,射箭塔,具体攻击,加强弓箭，提高攻击速度。,加强弓箭，提高攻击速度。,晋级射箭塔第4级！@最终升级！
0,4,射箭塔,具体攻击,银箭造成极大伤害。,银箭造成极大伤害。,晋级射箭塔第4级！@最终升级！
1,0,步兵塔,具体攻击,普通战士身穿能够阻挡敌人前进路线的重型盔甲。,普通战士身穿能够阻挡敌人前进路线的重型盔甲。,晋级步兵塔第1级！
1,1,步兵塔,具体攻击,身穿铜盔甲和武器的熟练战士。,身穿铜盔甲和武器的熟练战士。,晋级步兵塔第2级！
1,2,步兵塔,具体攻击,身穿钢盔甲和武器的经验丰富战士。,身穿钢盔甲和武器的经验丰富战士。,晋级步兵塔第3级！
1,3,步兵塔,具体攻击,身穿银盔甲和武器的老将战士。,身穿银盔甲和武器的老将战士。,晋级步兵塔第4级！
1,4,步兵塔,具体攻击,战士现在能够隐藏身份来突袭敌人，避开近距离伤害。,战士现在能够隐藏身份来突袭敌人，避开近距离伤害。,晋级步兵塔第4级！
2,0,炮手塔,具体攻击,对地面活动的敌人有效用的小型伤害涉及范围。,对地面活动的敌人有效用的小型伤害涉及范围。,晋级炮手塔第1级！
2,1,炮手塔,具体攻击,对地面活动的敌人有效用的中型伤害涉及范围。,对地面活动的敌人有效用的中型伤害涉及范围。,晋级炮手塔第2级！
2,2,炮手塔,具体攻击,对地面活动的敌人有效用的大型伤害涉及范围。,对地面活动的敌人有效用的大型伤害涉及范围。,晋级炮手塔第3级！
2,3,炮手塔,具体攻击,向地面活动的敌人抛出熔岩巨石，造成极大伤害。,向地面活动的敌人抛出熔岩巨石，造成极大伤害。,晋级炮手塔第4级！@最终升级！
2,4,炮手塔,具体攻击,在地区周围制造一个静态场地，减慢敌人的速度。,在地区周围制造一个静态场地，减慢敌人的速度。,晋级炮手塔第4级！@最终升级！
3,0,魔法巨龙塔,魔法攻击,对位于地面和空中的敌人造成穿透性的伤害。,对位于地面和空中的敌人造成穿透性的伤害。,晋级魔法巨龙塔第1级！
3,1,魔法巨龙塔,魔法攻击,发射一个额外魔法球，造成中型魔法伤害。,发射一个额外魔法球，造成中型魔法伤害。,晋级魔法巨龙塔第2级！
3,2,魔法巨龙塔,魔法攻击,身负较高伤害性和攻击范围的成年巨龙。,身负较高伤害性和攻击范围的成年巨龙。,晋级魔法巨龙塔第3级！
3,3,魔法巨龙塔,魔法攻击,拥有极大力量和特别功夫的千年老巨龙。,拥有极大力量和特别功夫的千年老巨龙。,晋级魔法巨龙塔第4级！@最终升级！
3,4,魔法巨龙塔,魔法攻击,以直线发射激光束，伤害所有碰及的敌人。,以直线发射激光束，伤害所有碰及的敌人。,晋级魔法巨龙塔第4级！@最终升级！
4,0,祭司塔,金币发制人,在10秒内发制10块金币。,在10秒内发制10块金币。,晋级祭司塔第1级！
4,1,祭司塔,金币发制人,在25秒内发制10块金币。,在25秒内发制10块金币。,晋级祭司塔第2级！
4,2,祭司塔,金币发制人,在35秒内发制10块金币。,在35秒内发制10块金币。,晋级祭司塔第3级！
4,3,祭司塔,金币发制人,在45秒内发制10块金币。,在45秒内发制10块金币。,晋级祭司塔第4级！@最终升级！
4,4,祭司塔,金币发制人,在45秒内发制10块金币。,在45秒内发制10块金币。,晋级祭司塔第4级！@最终升级！
