id,level,name,type,short_description,description,unlock_description
0,0,射手,肉体攻撃,物理的に負傷した地上航空機と航空機の両方を倒す。,物理的に負傷した地上航空機と航空機の両方を倒す。,レベル1アーチャーロック解除！
0,1,射手,肉体攻撃,ブロンズの矢は、攻撃エリアを改善し、ダメージを増加させます。,ブロンズの矢は、攻撃エリアを改善し、ダメージを増加させます。,レベル2アーチャーロック解除！
0,2,射手,肉体攻撃,スチール製の矢を持つ装備の弓兵は、ダメージを増加させます。,スチール製の矢を持つ装備の弓兵は、ダメージを増加させます。,レベル3アーチャーロック解除！
0,3,射手,肉体攻撃,アークを改善し、攻撃速度を上げます。,アークを改善し、攻撃速度を上げます。,レベル4アーチャーロック解除！ @究極のアップグレード！
0,4,射手,肉体攻撃,シルバーの矢は大きなダメージを受けます。,シルバーの矢は大きなダメージを受けます。,レベル5アーチャーロック解除！ @究極のアップグレード！
1,0,歩兵,肉体攻撃,敵の道を塞ぐことができる重装甲を持つ一般的な戦士。,敵の道を塞ぐことができる重装甲を持つ一般的な戦士。,レベル1歩兵ロック解除！
1,1,歩兵,肉体攻撃,ブロンズアームと武器で教育された戦士。,ブロンズアームと武器で教育された戦士。,レベル1歩兵ロック解除！
1,2,歩兵,肉体攻撃,スチールパンと武器を持つ経験豊かな戦士。,スチールパンと武器を持つ経験豊かな戦士。,レベル1歩兵ロック解除！
1,3,歩兵,肉体攻撃,銀の鎧と武器を持つベテランの戦士。,銀の鎧と武器を持つベテランの戦士。,レベル4歩兵ロック解除！ @究極のアップグレード！
1,4,歩兵,肉体攻撃,戦士は敵を防ぎ、害を避けるために隠れるようになりました。,戦士は敵を防ぎ、害を避けるために隠れるようになりました。,レベル4歩兵ロック解除！ @究極のアップグレード！
2,0,大砲,肉体攻撃,地上の敵に効果的な小さなAoEダメージ。,地上の敵に効果的な小さなAoEダメージ。,レベル1 大砲ロック解除！
2,1,大砲,肉体攻撃,地上敵に効果的な中程度のAoEダメージ。,地上敵に効果的な中程度のAoEダメージ。,レベル1 大砲ロック解除！
2,2,大砲,肉体攻撃,地上の敵に効果的な高いAoEダメージ。,地上の敵に効果的な高いAoEダメージ。,レベル1 大砲ロック解除！
2,3,大砲,肉体攻撃,石の低層ブロックを大規模なダメージを持つ地上の敵にキャストする。,石の低層ブロックを大規模なダメージを持つ地上の敵にキャストする。,レベル4 大砲ロック解除！ @究極のアップグレード！
2,4,大砲,肉体攻撃,エリアの周りに静的フィールドを作成し、敵を減らします。,エリアの周りに静的フィールドを作成し、敵を減らします。,レベル4 大砲ロック解除！ @究極のアップグレード！
3,0,マジックドラゴン,魔法の攻撃,陸上ユニットと飛行ユニットの両方に深刻なダメージを与えます。,陸上ユニットと飛行ユニットの両方に深刻なダメージを与えます。,レベル1マジックドラゴンロック解除！
3,1,マジックドラゴン,魔法の攻撃,中程度の魔法のダメージを扱う余分な球を燃やす。,中程度の魔法のダメージを扱う余分な球を燃やす。,レベル1マジックドラゴンロック解除！
3,2,マジックドラゴン,魔法の攻撃,高い怪我と暴行の範囲で完全に成長した龍。,高い怪我と暴行の範囲で完全に成長した龍。,レベル1マジックドラゴンロック解除！
3,3,マジックドラゴン,魔法の攻撃,大きな力と特別なスキルを持つ千年の龍。,大きな力と特別なスキルを持つ千年の龍。,レベル4マジックドラゴンロック解除！ @究極のアップグレード！
3,4,マジックドラゴン,魔法の攻撃,レーザービームを一直線にして、それが触れるすべての敵を破壊する。,レーザービームを一直線にして、それが触れるすべての敵を破壊する。,レベル4マジックドラゴンロック解除！ @究極のアップグレード！
4,0,祭司,ゴールドジェネレータ,10秒間10ゴールドを生成します。 20秒ごとに自動収集。,10秒間10ゴールドを生成します。 20秒ごとに自動収集。,レベル1プリーストロック解除！
4,1,祭司,ゴールドジェネレータ,25秒間10ゴールドを生成します。 20秒ごとに自動収集。,25秒間10ゴールドを生成します。 20秒ごとに自動収集。,レベル1プリーストロック解除！
4,2,祭司,ゴールドジェネレータ,35秒間10ゴールドを生成します。 20秒ごとに自動収集。,35秒間10ゴールドを生成します。 20秒ごとに自動収集。,レベル1プリーストロック解除！
4,3,祭司,ゴールドジェネレータ,45秒間10ゴールドを生成します。 20秒ごとに自動収集。,45秒間10ゴールドを生成します。 20秒ごとに自動収集。,レベル4プリーストロック解除！ @究極のアップグレード！
4,4,祭司,ゴールドジェネレータ,45秒間10ゴールドを生成します。 20秒ごとに自動収集。,45秒間10ゴールドを生成します。 20秒ごとに自動収集。,レベル4プリーストロック解除！ @究極のアップグレード！
