id,level,name,type,short_description,description,unlock_description
0,0,궁수,신체적 공격,땅과 하늘에 있는 적들을 물리력으로 공격합니다.,땅과 하늘에 있는 적들을 물리력으로 공격합니다.,아처타워 1단계 열림!
0,1,궁수,신체적 공격,청동 화살을 쓰면 거리와 공격력이 상승합니다.,청동 화살을 쓰면 거리와 공격력이 상승합니다.,아처타워 2단계 열림!
0,2,궁수,신체적 공격,강쳘 화살을 궁수한테 주면 공격력이 상승합니다.,강쳘 화살을 궁수한테 주면 공격력이 상승합니다.,아처타워 3단계 열림!
0,3,궁수,신체적 공격,궁을 강화하면 공격 속도가 높아집니다,궁을 강화하면 공격 속도가 높아집니다,아처타워 4단계 열림! @궁극의 강화가능!
0,4,궁수,신체적 공격,은촉 화살은 적에게 굉장한 대미지를 줍니다,은촉 화살은 적에게 굉장한 대미지를 줍니다,아처타워 5단계 열림!
1,0,보병대,신체적 공격,적의 길을 막는 무거운 갑옷을 입은 졸병들,적의 길을 막는 무거운 갑옷을 입은 졸병들,병영 1단계 열림!
1,1,보병대,신체적 공격,청동 갑옷과 무기를 지닌 훌련된 병사들,청동 갑옷과 무기를 지닌 훌련된 병사들,병영 2단계 열림!
1,2,보병대,신체적 공격,강철 갑옷과 무기를 지닌 경험있는 병사들,강철 갑옷과 무기를 지닌 경험있는 병사들,병영 3단계 열림!
1,3,보병대,신체적 공격,은촉 갑옷과 무기를 지닌 전문가 병사들,은촉 갑옷과 무기를 지닌 전문가 병사들,병영 4단계 열림! @궁극의 강화가능!
1,4,보병대,신체적 공격,병사들은 이제 숨어서 적의 원거리 공격을 피하며 습격할 수 있습니다.,병사들은 이제 숨어서 적의 원거리 공격을 피하며 습격할 수 있습니다.,병영 5단계 열림!
2,0,캐논,신체적 공격,"작은 효과 영역, 지상에 있는 적을 싸울 때 효과적입니다.","작은 효과 영역, 지상에 있는 적을 싸울 때 효과적입니다.",대포타워 1단계 열림!
2,1,캐논,신체적 공격,"일반 효과 영역, 지상에 있는 적을 싸울 때 효과적입니다.","일반 효과 영역, 지상에 있는 적을 싸울 때 효과적입니다.",대포타워 2단계 열림!
2,2,캐논,신체적 공격,"높은 효과 영역, 지상에 있는 적을 싸울 때 효과적입니다.","높은 효과 영역, 지상에 있는 적을 싸울 때 효과적입니다.",대포타워 3단계 열림!
2,3,캐논,신체적 공격,큰 용암 바위를 지상에 있는 적들에게 던지며 많은 대미지를 입힙니다.,큰 용암 바위를 지상에 있는 적들에게 던지며 많은 대미지를 입힙니다.,대포타워 4단계 열림! @궁극의 강화가능!
2,4,캐논,신체적 공격,전기 판을 주변에 깔아 적의 이동속도를 낮춥니다.,전기 판을 주변에 깔아 적의 이동속도를 낮춥니다.,대포타워 5단계 열림!
3,0,매직드래곤,마법 공격,땅과 하늘에 있는 적에게 굉장한 대미지를 줍니다.,땅과 하늘에 있는 적에게 굉장한 대미지를 줍니다.,드래곤 1단계 열림!
3,1,매직드래곤,마법 공격,"불 덩어리를 하나 더 불며, 적에게 일반 마법 대미지를 입힙니다.","불 덩어리를 하나 더 불며, 적에게 일반 마법 대미지를 입힙니다.",드래곤 2단계 열림!
3,2,매직드래곤,마법 공격,이 다 자란 용은 더 높은 공격력과 공격거리를 가지고 있습니다.,이 다 자란 용은 더 높은 공격력과 공격거리를 가지고 있습니다.,드래곤 3단계 열림!
3,3,매직드래곤,마법 공격,천년을 산 이 용은 엄청난 공격력과 특별한 스킬들을 가지고 있습니다.,천년을 산 이 용은 엄청난 공격력과 특별한 스킬들을 가지고 있습니다.,드래곤 4단계 열림! @궁극의 강화가능!
3,4,매직드래곤,마법 공격,"반듯한 레이저를 쏳으며, 맞은 적들에게 대미지를 입힙니다.","반듯한 레이저를 쏳으며, 맞은 적들에게 대미지를 입힙니다.",드래곤 5단계 열림!
4,0,성직자,금 생산자,10초당 10골드를 생산합니다.,10초당 10골드를 생산합니다.,신관 1단계 열림!
4,1,성직자,금 생산자,10초당 25골드를 생산합니다.,10초당 25골드를 생산합니다.,신관 2단계 열림!
4,2,성직자,금 생산자,10초당 35골드를 생산합니다.,10초당 35골드를 생산합니다.,신관 3단계 열림!
4,3,성직자,금 생산자,10초당 45골드를 생산합니다.,10초당 45골드를 생산합니다.,신관 4단계 열림! @궁극의 강화가능!
4,4,성직자,금 생산자,10초당 45골드를 생산합니다.,10초당 45골드를 생산합니다.,신관 5단계 열림!
