id,level,name,type,short_description,description,unlock_description
0,0,Лучник,физическая атака,Наносит физический урон врагам на земле и летающим врагам.,Наносит физический урон врагам на земле и летающим врагам.,Уровень 1 Лучник разблокировано
0,1,Лучник,физическая атака,Бронзовые стрелы увеличивают дальность атак и наносимый ими урон.,Бронзовые стрелы увеличивают дальность атак и наносимый ими урон.,Уровень 2 Лучник разблокировано
0,2,Лучник,физическая атака,"Экипируйте Лучника стальными стрелами, чтобы ещё больше увеличить наносимый урон.","Экипируйте Лучника стальными стрелами, чтобы ещё больше увеличить наносимый урон.",Уровень 3 Лучник разблокировано
0,3,Лучник,физическая атака,Улучшенные луки увеличивают скорость атак.,Улучшенные луки увеличивают скорость атак.,Уровень 4 Лучник разблокировано! @Максимальное улучшение!
0,4,Лучник,физическая атака,Серебряные стрелы наносят колоссальные повреждения врагам.,Серебряные стрелы наносят колоссальные повреждения врагам.,Уровень 5 Лучник разблокировано
1,0,Пехота,физическая атака,Обычный воин в тяжёлых доспехах. Может блокировать проход врагам.,Обычный воин в тяжёлых доспехах. Может блокировать проход врагам.,Уровень 1 Пехота разблокировано
1,1,Пехота,физическая атака,Подготовленный воин с бронзовыми доспехами и оружием.,Подготовленный воин с бронзовыми доспехами и оружием.,Уровень 2 Пехота разблокировано
1,2,Пехота,физическая атака,Искусный воин со стальными доспехами и оружием.,Искусный воин со стальными доспехами и оружием.,Уровень 3 Пехота разблокировано
1,3,Пехота,физическая атака,Закалённый воин с серебряными доспехами и оружием.,Закалённый воин с серебряными доспехами и оружием.,Уровень 4 Пехота разблокировано! @Максимальное улучшение!
1,4,Пехота,физическая атака,"Воины могут прятаться, устраивая врагам засаду и уклоняясь от дальних атак.","Воины могут прятаться, устраивая врагам засаду и уклоняясь от дальних атак.",Уровень 5 Пехота разблокировано
2,0,Артиллерист,физическая атака,Наносит небольшой урон по площади. Эффективен против наземных врагов.,Наносит небольшой урон по площади. Эффективен против наземных врагов.,Уровень 1 Артиллерист разблокировано
2,1,Артиллерист,физическая атака,Наносит средний урон по площади. Эффективен против наземных врагов.,Наносит средний урон по площади. Эффективен против наземных врагов.,Уровень 2 Артиллерист разблокировано
2,2,Артиллерист,физическая атака,Наносит высокий урон по площади. Эффективен против наземных врагов.,Наносит высокий урон по площади. Эффективен против наземных врагов.,Уровень 3 Артиллерист разблокировано
2,3,Артиллерист,физическая атака,"Швыряет в наземных врагов сгустки лавы, нанося им сильнейшие повреждения.","Швыряет в наземных врагов сгустки лавы, нанося им сильнейшие повреждения.",Уровень 4 Артиллерист разблокировано! @Максимальное улучшение!
2,4,Артиллерист,физическая атака,"Создаёт вокруг области силовое поле, которое замедляет врагов.","Создаёт вокруг области силовое поле, которое замедляет врагов.",Уровень 5 Артиллерист разблокировано
3,0,Волшебный дракон,магическая атака,Наносит проникающий урон врагам на земле и летающим врагам.,Наносит проникающий урон врагам на земле и летающим врагам.,Уровень 1 Волшебный дракон разблокировано
3,1,Волшебный дракон,магическая атака,"Стреляет дополнительной сферой, нанося средний магический урон.","Стреляет дополнительной сферой, нанося средний магический урон.",Уровень 2 Волшебный дракон разблокировано
3,2,Волшебный дракон,магическая атака,У выросших драконов увеличивается сила и дальность атаки.,У выросших драконов увеличивается сила и дальность атаки.,Уровень 3 Волшебный дракон разблокировано
3,3,Волшебный дракон,магическая атака,Тысячелетний дракон с сильнейшей атакой и особыми умениями.,Тысячелетний дракон с сильнейшей атакой и особыми умениями.,Уровень 4 Волшебный дракон разблокировано! @Максимальное улучшение!
3,4,Волшебный дракон,магическая атака,"Стреляет лазерным лучом по прямой линии. Луч наносит урон всем врагам, которые его касаются.","Стреляет лазерным лучом по прямой линии. Луч наносит урон всем врагам, которые его касаются.",Уровень 5 Волшебный дракон разблокировано
4,0,Священник,Золотой генератор,Производит 10 единиц золота каждые 10 секунд. ,Производит 10 единиц золота каждые 10 секунд. ,Уровень 1 Священник разблокировано
4,1,Священник,Золотой генератор,Производит 25 единиц золота каждые 10 секунд. ,Производит 25 единиц золота каждые 10 секунд. ,Уровень 2 Священник разблокировано
4,2,Священник,Золотой генератор,Производит 35 единиц золота каждые 10 секунд. ,Производит 35 единиц золота каждые 10 секунд. ,Уровень 3 Священник разблокировано
4,3,Священник,Золотой генератор,Производит 45 единиц золота каждые 10 секунд.,Производит 45 единиц золота каждые 10 секунд.,Уровень 4 Священник разблокировано! @Максимальное улучшение!
4,4,Священник,Золотой генератор,Производит 45 единиц золота каждые 10 секунд.,Производит 45 единиц золота каждые 10 секунд.,Уровень 5 Священник разблокировано
