id,level,name,type,short_description,description,unlock_description,
0,0,Archer,Tấn công vật lí,Cung thủ sẵn sàng tấn công kẻ thù từ xa.,Cung thủ sẵn sàng tấn công kẻ thù từ xa.,Level 1 Archer đã mở khóa!,
0,1,Archer,Tấn công vật lí,Mũi tên đồng giúp tăng sát thương và tầm xa.,Mũi tên đồng giúp tăng sát thương và tầm xa.,Level 2 Archer đã mở khóa!,
0,2,Archer,Tấn công vật lí,Mũi tên thép giúp cung thủ gây sát thương lớn hơn.,Mũi tên thép giúp cung thủ gây sát thương lớn hơn.,Level 3 Archer đã mở khóa!,
0,3,Archer,Tấn công vật lí,Nâng cấp cung khiến cung thủ có thể bắn nhanh hơn.,Nâng cấp cung khiến cung thủ có thể bắn nhanh hơn.,Level 4 Archer đã mở khóa! @Ultimate Upgrade!,
0,4,Archer,Tấn công vật lí,Cung thủ được trang bị mũi tên bạc gây damage lớn hơn.,Cung thủ được trang bị mũi tên bạc gây damage lớn hơn.,Level 5 Archer đã mở khóa! @Ultimate Upgrade!,
1,0,Infantry,Tấn công vật lí,Lính bộ binh chặn đường và tấn công quái.,Lính bộ binh chặn đường và tấn công quái.,Level 1 Infantry đã mở khóa!,
1,1,Infantry,Tấn công vật lí,Nâng cấp giáp và kiếm đồng cho lính.,Nâng cấp giáp và kiếm đồng cho lính.,Level 2 Infantry đã mở khóa!,
1,2,Infantry,Tấn công vật lí,Nâng cấp giáp và kiếm thép cho lính.,Nâng cấp giáp và kiếm thép cho lính.,Level 3 Infantry đã mở khóa!,
1,3,Infantry,Tấn công vật lí,Lính bộ binh được nâng cấp giáp và vũ khí bạc.,Lính bộ binh được nâng cấp giáp và vũ khí bạc.,Level 4 Infantry đã mở khóa! @Ultimate Upgrade!,
1,4,Infantry,Tấn công vật lí,Lính bộ binh học được kỹ năng ẩn nấp để mai phục kẻ địch và tránh sát thương từ xa.,Lính bộ binh học được kỹ năng ẩn nấp để mai phục kẻ địch và tránh sát thương từ xa.,Level 5 Infantry đã mở khóa! @Ultimate Upgrade!,
2,0,Canonneer,Tấn công vật lí,Ném mảnh đá nhỏ gây sát thương diện rộng.,Ném mảnh đá nhỏ gây sát thương diện rộng.,Level 1 Canonneer đã mở khóa!,
2,1,Canonneer,Tấn công vật lí,Ném viên đá vừa gây sát thương diện rộng.,Ném viên đá vừa gây sát thương diện rộng.,Level 2 Canonneer đã mở khóa!,
2,2,Canonneer,Tấn công vật lí,Ném tảng đá lớn gây sát thương diện rộng.,Ném tảng đá lớn gây sát thương diện rộng.,Level 3 Canonneer đã mở khóa!,
2,3,Canonneer,Tấn công vật lí,Ném những viên nham thạch gây sát thương lớn hơn.,Ném những viên nham thạch gây sát thương lớn hơn.,Level 4 Canonneer đã mở khóa! @Ultimate Upgrade!,
2,4,Canonneer,Tấn công vật lí,Tạo ra một trường điện từ xung quanh làm chậm kẻ thù.,Tạo ra một trường điện từ xung quanh làm chậm kẻ thù.,Level 5 Canonneer đã mở khóa! @Ultimate Upgrade!,
3,0,Magic Dragon,Tấn công phép thuật,Gây sát thương xuyên giáp.,Gây sát thương xuyên giáp.,Level 1 Magic Dragon đã mở khóa!,
3,1,Magic Dragon,Tấn công phép thuật,"Rồng đã lớn, tăng 1 quả cầu mỗi lần bắn.","Rồng đã lớn, tăng 1 quả cầu mỗi lần bắn.",Level 2 Magic Dragon đã mở khóa!,
3,2,Magic Dragon,Tấn công phép thuật,Rồng trưởng thành gây sát thương cao và tầm đánh rộng hơn.,Rồng trưởng thành gây sát thương cao và tầm đánh rộng hơn.,Level 3 Magic Dragon đã mở khóa!,
3,3,Magic Dragon,Tấn công phép thuật,Rồng ngàn tuổi có sức mạnh vượt trội và khả năng đặc biệt.,Rồng ngàn tuổi có sức mạnh vượt trội và khả năng đặc biệt.,Level 4 Magic Dragon đã mở khóa! @Ultimate Upgrade!,
3,4,Magic Dragon,Tấn công phép thuật,Bắn ra một tia laze gây sát thương cho tất cả kẻ thù trên một đường thẳng.,Bắn ra một tia laze gây sát thương cho tất cả kẻ thù trên một đường thẳng.,Level 5 Magic Dragon đã mở khóa! @Ultimate Upgrade!,
4,0,Priest,Sản xuất vàng,Sản xuất 10 Gold trong 10 giây.,Sản xuất 10 Gold trong 10 giây.,Level 1 Priest Unlocked!,
4,1,Priest,Sản xuất vàng,Sản xuất 25 Gold trong 10 giây.,Sản xuất 25 Gold trong 10 giây.,Level 2 Priest Unlocked!,
4,2,Priest,Sản xuất vàng,Sản xuất 35 Gold trong 10 giây.,Sản xuất 35 Gold trong 10 giây.,Level 3 Priest Unlocked!,
4,3,Priest,Sản xuất vàng,Sản xuất 45 Gold trong 10 giây.,Sản xuất 45 Gold trong 10 giây.,Level 4 Priest Unlocked!,@Ultimate Upgrade!
4,4,Priest,Sản xuất vàng,Sản xuất 45 Gold trong 10 giây.,Sản xuất 45 Gold trong 10 giây.,Level 5 Priest Unlocked! @Ultimate Upgrade!,
