id,level,ultimate_id,skill_id,name,ultimate_name,ultimate_description
0,3,0,0,Archer,Multi-Shot,"# Lança flechas poderosas na formação do inimigo, causando dano em uma ampla área."
0,3,0,1,Archer,Freezing Arrow,# Tem a chance de imbuir setas com gelo.
0,4,1,0,Archer,Assassinate,# Tem uma chance de {0}% de matar imediatamente o oponente.
0,4,1,1,Archer,Critical Shot,# Acertar inimigos levam {0}% de dano aumentado de outra fonte durante a ativação da habilidade.
1,3,0,0,Infantry,Steel Bulwark,# Aumenta a defesa da infantaria.
1,3,0,1,Infantry,Dexterity,# Equipa a Infantaria com machado jogado para derrubar inimigos de longe.
1,4,1,0,Infantry,Vigor,# Fornece {0}% de chance de combater o ataque dos inimigos com um golpe penetrante.
1,4,1,1,Infantry,Blade Storm,# Lança um ataque consecutivo de {0} hits. Cooldown {1}s.
2,3,0,0,Canonneer,Precision,# Lança uma rocha mortal para o inimigo com a maior saúde e seus arredores.
2,3,0,1,Canonneer,Hellfire Cannonball,# Lança uma rocha revestida de lava que deixa uma trilha de fogo.
2,4,1,0,Canonneer,Heavy Boulder,# Cada segundo tem {0}% de chance de atordoar {1} adversário por {2}s.
2,4,1,1,Canonneer,ThunderBolt,# Lança uma lança de relâmpago que causa dano de {0} a {1} inimigo(s) dentro do alcance de ataque. Cooldown {2}s.
3,3,0,0,Magic Dragon,Reinforcement,# Convoca bebê dragões para o campo de batalha sob o comando da torre.
3,3,0,1,Magic Dragon,Dragon's Blessing,# O dragão abençoa aliados próximos com uma aura que cura e aumenta a velocidade de ataque.
3,4,1,0,Magic Dragon,Shove,# Empurra {0} inimigos de volta a uma curta distância com uma força antiga. Cooldown {1}s.
3,4,1,1,Magic Dragon,Intimidate,# Reduz {0}% de resistência mágica dos inimigos próximos.
4,3,0,0,Priest,Coming Soon,# Em breve
4,3,0,1,Priest,Coming Soon,# Em breve
4,4,1,0,Priest,none,# none
4,4,1,1,Priest,none,# none
