id,level,ultimate_id,skill_id,name,ultimate_name,ultimate_description
0,3,0,0,Archer,Multi-Shot,# Запуск стрел в ряды врагов. Наносит урон на большой территории.
0,3,0,1,Archer,Freezing Arrow,# Есть вероятность придать стреле элемент Льда.
0,4,1,0,Archer,Assassinate,# Дает {0}% вероятность моментального убийства врага.
0,4,1,1,Archer,Critical Shot,"# Поражённый враг получает на {0}% больше урона от других атак все время, пока умение активировано."
1,3,0,0,Infantry,Steel Bulwark,# Увеличивает защиту пехоты.
1,3,0,1,Infantry,Dexterity,# Пехота получает метательные топоры для поражения противников на расстоянии.
1,4,1,0,Infantry,Vigor,# Дает {0}% вероятность нанести врагу контрудар проникающей атакой.
1,4,1,1,Infantry,Blade Storm,# Непрерывная атака из {0} ударов. Перезарядка {1}сек.
2,3,0,0,Canonneer,Precision,# Стреляет огромным валуном во врага с наибольшим количеством здоровья.
2,3,0,1,Canonneer,Hellfire Cannonball,"# Стреляет сгустком лавы, оставляющим за собой огненный след."
2,4,1,0,Canonneer,Heavy Boulder,# Каждую секунду есть {0}% вероятность оглушить {1} врага на {2}сек.
2,4,1,1,Canonneer,ThunderBolt,"# Бросает копьё-молнию, которое наносит {0} урон {1} врагу(ам) на расстоянии. Перезарядка {2}сек."
3,3,0,0,Magic Dragon,Reinforcement,# Призывает на поле боя детёнышей дракона.
3,3,0,1,Magic Dragon,Dragon's Blessing,"# Дракон благословляет находящихся вблизи союзников, восстанавливая им здоровье и увеличивая скорость их атаки."
3,4,1,0,Magic Dragon,Shove,# Древняя сила отталкивает {0} врагов на небольшое расстояние. Перезарядка {1}сек.
3,4,1,1,Magic Dragon,Intimidate,# Уменьшает {0}% устойчивость к магии ближайших врагов.
4,3,0,0,Priest,Coming Soon,# Скоро
4,3,0,1,Priest,Coming Soon,# Скоро
4,4,1,0,Priest,none,# none
4,4,1,1,Priest,none,# none
