id,level,ultimate_id,skill_id,name,ultimate_name,ultimate_description
0,3,0,0,Archer,Multi-Shot,# Bắn một trận mưa tên xuống đầu kẻ thù gây sát thương diện rộng.
0,3,0,1,Archer,Freezing Arrow,# Bắn mũi tên gây đóng băng kẻ thù.
0,4,1,0,Archer,Assassinate,# Có xác suất {0}% tiêu diệt ngay lập tức 1 kẻ thù.
0,4,1,1,Archer,Critical Shot,# Kẻ địch nhận thêm {0}% sát thương từ nguồn khác trong khoảng thời gian bị dính kỹ năng.
1,3,0,0,Infantry,Steel Bulwark,# Bộ binh có khả năng tấn công các mục tiêu ở xa bằng cách ném rìu.
1,3,0,1,Infantry,Vigor,# Giáp rồng cường hóa tăng khả năng kháng tấn công vật lý.
1,4,1,0,Infantry,Dexterity,# {0}% cơ hội né đòn và đồng thời phản lại 1 đòn xuyên giáp kẻ thù.
1,4,1,1,Infantry,Blade Storm,# Chém {0} lần liên tiếp vào kẻ thù. Thời gian hồi chiêu {1} giây.
2,3,0,0,Canonneer,Precision,# Bắn viên đạn Tử Thần vào mục tiêu có HP lớn nhất.
2,3,0,1,Canonneer,Hellfire Cannonball,# Đạn có khả năng nổ và gây cháy mặt đất thiêu đốt kẻ thù.
2,4,1,0,Canonneer,Heavy Boulder,# Mỗi giây có {0}% cơ hội gây choáng cho {1} kẻ thù trong {2} giây.
2,4,1,1,Canonneer,ThunderBolt,# Bắn một tia sét gây {0} sát thương lên {1} kẻ địch trong tầm đánh. Thời gian hồi chiêu {2} giây.
3,3,0,0,Magic Dragon,Reinforcement,# Gọi rồng con cùng chiến đấu.
3,3,0,1,Magic Dragon,Dragon's Blessing,# Tạo một vùng hào quang hồi máu tăng và tốc độ cho lính đồng minh.
3,4,1,0,Magic Dragon,Shove,# Đẩy {0} kẻ địch lùi lại một đoạn ngắn. Thời gian hồi chiêu {1} giây.
3,4,1,1,Magic Dragon,Intimidate,# Giảm {0}% kháng phép của tất cả kẻ thù trong phạm vi tấn công.
4,3,0,0,Priest,Coming Soon,# Coming Soon
4,3,0,1,Priest,Coming Soon,# Coming Soon
4,4,1,0,Priest,none,# none
4,4,1,1,Priest,none,# none
