tut_id,tut_description
choose_map_step_0,让我们从这里开始！
start_game_step_0,选择你的英雄
start_game_step_1,开始游戏吧！
call_enemy_step_0,点击来参与战斗
call_enemy_step_1,再次点击来确认！
build_tower_step_0,点击来建造塔楼
build_first_tower_step_0,步兵能阻挡敌人前进路线
build_first_tower_step_1,再次点击来确认！
build_second_tower_step_0,炮手造成涉及范围的伤害
build_second_tower_step_1,再次点击来确认！
build_third_tower_step_0,祭司帮助制造金币
build_third_tower_step_1,再次点击来确认！
speed_button,启用加速
move_hero_step_0,点击来选择英雄
move_hero_step_1,点击位置@来移动
hero_skill_step_0,点击来选择技术
hero_skill_step_1,点击位置@来施展技术
unlock_hero_step_0,新英雄解锁！
unlock_hero_step_1,点击来选择新英雄
unlock_hero_step_2,点击来解锁
upgrade_hero_step_0,选择想要升级的英雄
upgrade_hero_step_1,升级英雄的级别！
upgrade_tower_step_0,加强你的塔楼！
upgrade_tower_step_1,选择你要的能力
upgrade_tower_step_2,以及将它升级！
open_lucky_chest_step_1_first_chest,触摸来打开箱子！
open_lucky_chest_step_2_second_chest,触摸来打开箱子！
open_lucky_chest_step_3_third_chest,触摸来打开箱子！
open_lucky_chest_step_4_free_chest,触摸来得到另外3个箱子！
open_lucky_chest_step_5_auto_open,赶快触摸来打开箱子！
open_lucky_chest_step_6_free_chest_again,触摸来得到另外3个箱子！
open_lucky_chest_step_7_auto_open_again,赶快触摸来打开箱子！
open_lucky_chest_step_8_continue,继续你的冒险！
use_hero_skill_point_step_0,升级你的英雄技术！
use_hero_skill_point_step_1,点击来选择英雄！
use_hero_skill_point_step_2,使用技术分来升级技术级别
