tut_id,tut_description
choose_map_step_0,ここから始めましょう！
start_game_step_0,あなたのヒーローを選んでください
start_game_step_1,ゲームを始めましょう！
call_enemy_step_0,試合に参加するために押す
call_enemy_step_1,もう一度押すと確定します。
build_tower_step_0,タップをタップするとタップ
build_first_tower_step_0,歩兵は敵の道を塞ぐことができる
build_first_tower_step_1,もう一度押すと確定します。
build_second_tower_step_0,大砲はダメージについて
build_second_tower_step_1,もう一度押すと確定します。
build_third_tower_step_0,司祭は金を生み出すのを助ける
build_third_tower_step_1,もう一度押すと確定します。
speed_button,高速化を有効にする
move_hero_step_0,ヒーローを選択するために押す
move_hero_step_1,移動する場所をタッチ@
hero_skill_step_0,スキルを選択するときに押す
hero_skill_step_1,スキルをキャストするためにサイトに触れる
unlock_hero_step_0,新しい完全にロックされていない！
unlock_hero_step_1,新しい全体を選択するために押す
unlock_hero_step_2,押してロックを解除する
upgrade_hero_step_0,アップグレード全体を選択する
upgrade_hero_step_1,ヒーローのレベルをアップ！
upgrade_tower_step_0,あなたの塔を改善しよう！
upgrade_tower_step_1,あなたが望む能力を選ぶ
upgrade_tower_step_2,それをアップグレードしてください！
open_lucky_chest_step_1_first_chest,タッチして胸を開く！
open_lucky_chest_step_2_second_chest,タッチして胸を開く！
open_lucky_chest_step_3_third_chest,タッチして胸を開く！
open_lucky_chest_step_4_free_chest,3つの胸を取得するために押す！
open_lucky_chest_step_5_auto_open,すぐにクレートを開くために押す！
open_lucky_chest_step_6_free_chest_again,3つの胸を取得するために押す！
open_lucky_chest_step_7_auto_open_again,すぐにクレートを開くために押す！
open_lucky_chest_step_8_continue,あなたの冒険を続けなさい！
use_hero_skill_point_step_0,あなたのフルスキルをアップグレードしましょう！
use_hero_skill_point_step_1,ヒーローを選択するために押す
use_hero_skill_point_step_2,スキルレベルをアップグレードするためにスキルポイントを使用する
