tut_id,tut_description
choose_map_step_0,여기서 시작해봅시다!
start_game_step_0,영웅을 선택하십시오.
start_game_step_1,전쟁을 시작해볼까요?
call_enemy_step_0,탭하여 전투에 참전하십시오.
call_enemy_step_1,확인!
build_tower_step_0,탭하여 타워를 건설하십시오.
build_first_tower_step_0,보병은 적의 경로를 차단할 수 있습니다.
build_first_tower_step_1,확인하려면 다시 살짝만 누르십시오!
build_second_tower_step_0,대포공이 AoE 데미지를 입 힙니다.
build_second_tower_step_1,확인하려면 다시 살짝만 누르십시오!
build_third_tower_step_0,성직자가 금을 만들어내는 데 도움
build_third_tower_step_1,확인하려면 다시 살짝만 누르십시오!
speed_button,게임 속도를 높이십시오.
move_hero_step_0,탭하여 영웅을 선택하십시오.
move_hero_step_1,이동할 곳을 탭하십시오.
hero_skill_step_0,탭하여 스킬을 선택하십시오.
hero_skill_step_1,스킬을 발동시킬 곳을 탭하십시오.
unlock_hero_step_0,새로운 영웅이 해금되었습니다!
unlock_hero_step_1,새 영웅을 탭하여 선택하세요.
unlock_hero_step_2,탭해서 해금하세요!
upgrade_hero_step_0,업그레이드 할 영웅을 선택하십시오.
upgrade_hero_step_1,영웅 레벨 업그레이드!
upgrade_tower_step_0,당신의 타워를 강화합시다!
upgrade_tower_step_1,원하는 능력을 선택하십시오.
upgrade_tower_step_2,업그레이드!
open_lucky_chest_step_1_first_chest,터치하면 상자가 열립니다!
open_lucky_chest_step_2_second_chest,터치하면 상자가 열립니다!
open_lucky_chest_step_3_third_chest,터치하면 상자가 열립니다!
open_lucky_chest_step_4_free_chest,터치하면 상자가 3 개 더 늘어납니다.
open_lucky_chest_step_5_auto_open,터치하면 빠르게 열 수 있습니다.
open_lucky_chest_step_6_free_chest_again,터치하면 상자가 3 개 더 늘어납니다.
open_lucky_chest_step_7_auto_open_again,터치하면 빠르게 열 수 있습니다.
open_lucky_chest_step_8_continue,당신의 모험을 계속하십시오!
use_hero_skill_point_step_0,영웅의 스킬을 강화 합시다!
use_hero_skill_point_step_1,여기를 눌러서 영웅을 선택하세요.
use_hero_skill_point_step_2,스킬 레벨을 스킬 포인트로 강화 시키세요!
