id,name,level,health,size,body_size,armor_physics,armor_magic,attack_physics_min,attack_physics_max,attack_magic_min,attack_magic_max,attack_cooldown,attack_range_average,attack_range_max,speed,change_avoid_melee,value,life_taken,life_count,boss,air,underground,drop_gem_percent,drop_gem_amount_min,drop_gem_amount_max
0,Pirate,0,18,10,8,0,0,1,4,0,0,1000,33,0,40,0,3,1,1,0,0,0,15,1,1
0,Pirate,1,20,10,8,0,0,1,4,0,0,1000,33,0,40,0,3,1,1,0,0,0,15,1,1
0,Pirate,2,24,10,8,0,0,1,4,0,0,1000,33,0,40,0,3,1,1,0,0,0,15,1,1
1,Barbosa,0,50,12,14,50,0,4,8,0,0,1000,33,0,40,0,8,1,1,0,0,0,15,1,1
1,Barbosa,1,60,12,14,50,0,4,8,0,0,1000,33,0,40,0,8,1,1,0,0,0,15,1,1
1,Barbosa,2,80,12,14,50,0,4,8,0,0,1000,33,0,40,0,8,1,1,0,0,0,15,1,1
2,Lupin,0,50,12,14,0,0,4,6,0,0,800,33,0,60,50,6,1,1,0,0,0,15,1,2
2,Lupin,1,60,12,14,0,0,4,6,0,0,800,33,0,60,50,6,1,1,0,0,0,15,1,2
2,Lupin,2,80,12,14,0,0,4,6,0,0,800,33,0,60,50,6,1,1,0,0,0,15,1,2
3,Loki,0,50,18,14,0,50,9,15,0,0,800,33,0,60,50,8,1,1,0,0,0,15,1,1
3,Loki,1,60,18,14,0,50,9,15,0,0,800,33,0,60,50,8,1,1,0,0,0,15,1,1
3,Loki,2,80,18,14,0,50,9,15,0,0,800,33,0,60,50,8,1,1,0,0,0,15,1,1
4,Kimora,0,90,16,18,0,95,0,0,5,10,1000,33,0,30,0,8,1,1,0,0,0,15,1,2
4,Kimora,1,90,16,18,0,95,0,0,5,10,1000,33,0,30,0,8,1,1,0,0,0,15,1,2
4,Kimora,2,90,16,18,0,95,0,0,5,10,1000,33,0,30,0,8,1,1,0,0,0,15,1,2
5,Orc Tank,0,645,20,18,0,0,50,60,0,0,4000,33,0,25,0,34,3,1,0,0,0,20,2,3
5,Orc Tank,1,745,20,18,0,0,50,60,0,0,4000,33,0,25,0,34,3,1,0,0,0,20,2,3
5,Orc Tank,2,890,20,18,0,0,50,60,0,0,4000,33,0,25,0,34,3,1,0,0,0,20,2,3
6,One-Eye,0,120,20,0,0,0,0,0,0,0,2500,33,0,40,0,14,1,1,0,1,0,10,2,3
6,One-Eye,1,135,20,0,0,0,0,0,0,0,2500,33,0,40,0,14,1,1,0,1,0,10,2,3
6,One-Eye,2,150,20,0,0,0,0,0,0,0,2500,33,0,40,0,14,1,1,0,1,0,10,2,3
7,Orc King,0,6500,25,30,50,0,150,200,0,0,1200,33,0,20,0,400,25,1,1,0,0,100,20,40
7,Orc King,1,7500,25,30,50,0,150,200,0,0,1200,33,0,20,0,400,25,1,1,0,0,100,20,40
