id,name,level,exp_per_level,respawn_time,health_regen,health_regen_cooldown,health,armor_physics,armor_magic,critical_strike_chance,attack_physics_min,attack_physics_max,attack_magic_min,attack_magic_max,attack_cooldown,attack_range_min,attack_range_average,attack_range_max,activate_range,speed,can_attack_air,skill_point_bonus
0,Wu Kong,0,50,30000,20,10000,110,0,0,0,25,35,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,1,85,30000,20,10000,120,0,0,0,28,34,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,2,180,30000,20,10000,140,0,0,0,28,36,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,3,365,30000,20,10000,170,20,0,0,28,38,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,4,670,30000,20,10000,205,20,0,0,30,38,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,5,1125,30000,20,10000,250,20,0,0,31,39,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,6,1760,30000,20,10000,300,20,0,0,32,40,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,7,2605,30000,20,10000,360,20,0,0,34,40,0,0,2000,10,50,50,100,80,0,1
0,Wu Kong,8,3690,30000,20,10000,430,20,0,0,35,41,0,0,2000,10,50,50,100,80,0,2
0,Wu Kong,9,5045,30000,20,10000,510,20,0,0,36,42,0,0,2000,10,50,50,100,80,0,2
1,Ai Shi,0,50,30000,10,10000,50,0,0,0,10,20,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,1,120,30000,10,10000,55,0,0,0,10,21,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,2,310,30000,10,10000,60,0,0,0,11,21,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,3,680,30000,10,10000,70,0,0,0,11,22,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,4,1290,30000,10,10000,85,0,0,0,12,22,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,5,2200,30000,10,10000,105,0,0,0,12,23,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,6,3470,30000,10,10000,120,0,0,0,13,23,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,7,5160,30000,10,10000,145,0,0,0,13,24,0,0,1000,10,50,190,300,70,1,1
1,Ai Shi,8,7330,30000,10,10000,170,0,0,0,14,24,0,0,1000,10,50,190,300,70,1,2
1,Ai Shi,9,10040,30000,10,10000,200,0,0,0,14,25,0,0,1000,10,50,190,300,70,1,2
2,Sir Galahad,0,50,30000,20,10000,100,0,0,0,21,25,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,1,120,30000,20,10000,110,0,0,0,21,27,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,2,310,30000,20,10000,125,0,0,0,22,28,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,3,680,30000,20,10000,145,20,0,0,23,28,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,4,1290,30000,20,10000,170,20,0,0,23,29,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,5,2200,30000,20,10000,205,20,0,0,24,30,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,6,3470,30000,20,10000,245,35,0,0,25,31,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,7,5160,30000,20,10000,290,35,0,0,25,32,0,0,1550,10,50,50,100,65,0,1
2,Sir Galahad,8,7330,30000,20,10000,340,35,0,0,26,33,0,0,1550,10,50,50,100,65,0,2
2,Sir Galahad,9,10040,30000,20,10000,400,35,0,0,27,33,0,0,1550,10,50,50,100,65,0,2
