map_id,tower_0_level,tower_1_level,tower_2_level,tower_3_level,tower_4_level,hero_allowed_max,have_tower_preview,param_0,param_1,param_2,tip_infor_id
0,-1,0,0,-1,-1,3,1,1_0,2_0,_,7
1,0,1,0,0,-1,3,1,0_0,1_1,3_0,8
2,1,1,1,1,-1,3,1,0_1,2_1,3_1,9
3,2,1,2,1,-1,3,1,0_2,2_2,_,10
4,2,2,2,1,-1,3,1,1_2,_,_,11
5,2,2,2,2,-1,3,1,3_2,_,_,12
6,3,2,2,2,-1,3,1,0_3,_,_,-1
7,3,2,2,3,-1,3,1,3_3,_,_,-1
8,3,2,3,3,-1,3,1,2_3,_,_,-1
9,3,3,3,3,-1,3,1,1_3,_,_,-1
10,3,3,3,3,-1,3,0,_,_,_,-1
11,3,3,3,3,-1,3,0,_,_,_,-1
12,3,3,4,3,-1,3,1,2_4,_,_,-1
13,3,3,4,3,-1,3,0,_,_,_,-1
14,3,4,4,3,-1,3,0,1_4,_,_,-1
15,4,4,4,3,-1,3,1,0_4,_,_,-1
16,4,4,4,4,-1,3,1,3_4,_,_,-1
17,4,4,4,4,-1,3,0,_,_,_,-1
18,4,4,4,4,-1,3,0,_,_,_,-1
