formation_id,time,note
1,0,"Map 12 , E18"
1,500,
1,1000,
1,1500,
1,2000,
2,0,E6
2,2000,
2,4000,
2,6000,
2,8000,
3,0,E18
3,1000,
3,2000,
4,0,E12
4,5000,
4,10000,
4,15000,
5,0,E18
5,500,
5,1000,
5,1500,
5,2000,
5,2500,
5,3000,
6,0,Map 13
6,1000,
6,2000,
6,3000,
6,4000,
6,5000,
7,0,E2
7,800,
7,1600,
7,2400,
7,3200,
7,4000,
7,4800,
7,5600,
7,6400,
7,7200,
8,0,E19
8,2000,
8,4000,
8,6000,
8,8000,
8,10000,
9,0,E2
9,1000,
9,2000,
9,3000,
9,4000,
10,0,E14
10,2000,
10,4000,
10,6000,
10,8000,
10,10000,
10,12000,
11,0,3q
11,1000,
11,2000,
12,0,4q
12,1000,
12,2000,
12,3000,
13,0,5q
13,1000,
13,2000,
13,3000,
13,4000,
14,0,6q
14,1000,
14,2000,
14,3000,
14,4000,
14,5000,
15,0,7q
15,1000,
15,2000,
15,3000,
15,4000,
15,5000,
15,6000,
16,0,8q
16,1000,
16,2000,
16,3000,
16,4000,
16,5000,
16,6000,
16,7000,
17,0,9q
17,1000,
17,2000,
17,3000,
17,4000,
17,5000,
17,6000,
17,7000,
17,8000,
18,0,10q
18,1000,
18,2000,
18,3000,
18,4000,
18,5000,
18,6000,
18,7000,
18,8000,
18,9000,
19,0,E14
19,1000,
19,2000,
19,3000,
20,0,E9
20,1000,
20,2000,
20,3000,
20,4000,
20,5000,
20,6000,
21,0,"E22, E23"
21,3000,
21,6000,
22,0,E1
22,500,
22,1000,
22,1500,
22,2000,
23,0,E1
23,500,
23,1000,
23,1500,
23,2000,
23,2500,
23,3000,
23,3500,
23,4000,
23,4500,
24,0,E22
24,1000,
24,2000,
25,0,E10
25,3000,
25,6000,
25,9000,
