wave,no,is_last_in_wave,enemy_id,time,gate,formation_id,min_difficulty,money,health,delta_time
0,,,8,0,0,1,0,950,20,20000
0,,,8,12000,1,1,0,,,
0,,,18,18000,0,3,0,,,
1,,,8,0,2,1,0,,,
1,,,8,12000,3,1,0,,,
1,,,18,18000,2,3,0,,,
1,,,1,18000,3,7,0,,,
2,,,6,0,0,2,0,,,
2,,,6,10000,2,2,0,,,
2,,,18,30000,0,1,0,,,
2,,,18,30000,2,1,0,,,
3,,,8,0,1,1,0,,,
3,,,8,8000,1,1,0,,,
3,,,8,30000,1,5,0,,,
3,,,8,8000,3,1,0,,,
3,,,1,15000,3,7,0,,,
3,,,8,25000,3,5,0,,,
4,,,12,10000,0,4,0,,,
4,,,2,20000,0,1,0,,,
4,,,12,40000,0,4,0,,,
4,,,12,10000,2,4,0,,,
4,,,2,2000,2,1,0,,,
4,,,12,40000,2,4,0,,,
5,,,21,0,0,0,0,,,
5,,,8,10000,0,5,0,,,
5,,,0,20000,0,7,0,,,
5,,,0,25000,1,7,0,,,
5,,,18,30000,1,5,0,,,
5,,,21,0,2,0,0,,,
5,,,0,10000,2,7,0,,,
5,,,8,20000,2,5,0,,,
5,,,0,30000,3,7,0,,,
5,,,0,35000,3,7,0,,,
5,,,18,40000,3,5,0,,,
6,,,21,0,0,0,0,,,
6,,,21,3000,0,0,0,,,
6,,,6,15000,0,2,0,,,
6,,,0,20000,0,7,0,,,
6,,,18,40000,1,1,0,,,
6,,,12,0,2,4,0,,,
6,,,8,15000,2,1,0,,,
6,,,18,50000,3,5,0,,,
7,,,21,0,0,0,0,,,
7,,,21,3000,0,0,0,,,
7,,,12,5000,0,4,0,,,
7,,,18,40000,1,5,0,,,
7,,,6,25000,1,2,0,,,
8,,,21,0,2,0,0,,,
8,,,21,3000,2,0,0,,,
8,,,12,5000,2,4,0,,,
8,,,1,15000,2,7,0,,,
8,,,18,35000,3,5,0,,,
8,,,6,25000,3,2,0,,,
8,,,0,30000,3,7,0,,,
9,,,21,0,0,0,0,,,
9,,,21,5000,0,0,0,,,
9,,,18,15000,0,5,0,,,
9,,,18,40000,0,1,0,,,
9,,,21,0,1,0,0,,,
9,,,6,5000,1,2,0,,,
9,,,6,25000,1,2,0,,,
9,,,18,50000,2,1,0,,,
9,,,6,25000,3,2,0,,,
10,,,8,0,1,5,0,,,
10,,,8,15000,1,5,0,,,
10,,,8,25000,1,5,0,,,
10,,,8,35000,1,5,0,,,
10,,,8,0,3,5,0,,,
10,,,8,20000,3,5,0,,,
10,,,8,40000,3,5,0,,,
11,,,18,5000,0,5,0,,,
11,,,18,20000,1,5,0,,,
11,,,1,20000,1,7,0,,,
11,,,18,35000,1,5,0,,,
11,,,18,35000,0,5,0,,,
11,,,18,5000,2,5,0,,,
11,,,18,20000,3,5,0,,,
11,,,1,20000,3,7,0,,,
11,,,18,35000,3,5,0,,,
11,,,18,35000,2,5,0,,,
12,,,21,0,0,0,0,,,
12,,,21,3000,0,0,0,,,
12,,,12,0,0,4,0,,,
12,,,18,20000,1,5,0,,,
12,,,18,35000,1,5,0,,,
12,,,18,35000,0,5,0,,,
12,,,1,30000,0,7,0,,,
12,,,21,0,2,0,0,,,
12,,,12,0,2,4,0,,,
12,,,18,20000,3,5,0,,,
12,,,18,35000,3,5,0,,,
12,,,1,30000,3,7,0,,,
12,,,18,35000,2,5,0,,,
12,,,0,30000,2,7,0,,,
