wave,no,is_last_in_wave,enemy_id,time,gate,formation_id,min_difficulty,money,health,delta_time,,,,,,,,
0,,,1,0,0,6,0,850,20,15000,,,,,,,,
0,,,1,20000,0,6,0,,,,,,,,,,,
1,,,1,0,1,6,0,,,,,,,,,,,
1,,,1,15000,1,6,0,,,,,,,,,,,
1,,,1,25000,1,6,0,,,,,,,,,,,
2,,,2,0,0,7,0,,,,,,,,,,,
2,,,18,20000,0,1,0,,,,,,,,,,,
2,,,2,30000,0,7,0,,,,,,,,,,,
2,,,2,10000,1,7,0,,,,,,,,,,,
2,,,2,25000,1,7,0,,,,,,,,,,,
2,,,18,40000,1,1,0,,,,,,,,,,,
3,,,18,0,0,5,0,,,,,,,,,,,
3,,,18,25000,0,1,0,,,,,,,,,,,
3,,,2,28000,0,7,0,,,,,,,,,,,
3,,,18,10000,1,5,0,,,,,,,,,,,
3,,,18,35000,1,1,0,,,,,,,,,,,
3,,,2,38000,1,3,0,,,,,,,,,,,
4,,,19,0,0,8,0,,,,,,,,,,,
4,,,21,15000,0,0,0,,,,,,,,,,,
4,,,19,25000,0,8,0,,,,,,,,,,,
4,,,19,0,1,8,0,,,,,,,,,,,
4,,,21,15000,1,0,0,,,,,,,,,,,
4,,,19,30000,1,8,0,,,,,,,,,,,
5,,,21,0,0,0,0,,,,,,,,,,,
5,,,19,5000,0,8,0,,,,,,,,,,,
5,,,18,25000,0,5,0,,,,,,,,,,,
5,,,6,50000,2,2,0,,,,,,,,,,,
5,,,12,30000,2,4,0,,,,,,,,,,,
6,,,21,0,1,0,0,,,,,,,,,,,
6,,,19,5000,1,8,0,,,,,,,,,,,
6,,,18,25000,1,5,0,,,,,,,,,,,
6,,,12,30000,3,4,0,,,,,,,,,,,
6,,,6,40000,3,2,0,,,,,,,,,,,
6,,,12,6,3,2,0,,,,,,,,,,,
7,,,21,0,2,0,0,,,,,,,,,,,
7,,,12,5000,2,4,0,,,,,,,,,,,
7,,,18,25000,2,5,0,,,,,,,,,,,
7,,,18,35000,0,5,0,,,,,,,,,,,
7,,,1,40000,0,6,0,,,,,,,,,,,
7,,,1,0,1,6,0,,,,,,,,,,,
7,,,18,30000,3,2,0,,,,,,,,,,,
7,,,19,50000,3,8,0,,,,,,,,,,,
7,,,1,45000,1,6,0,,,,,,,,,,,
8,,,21,0,0,0,0,,,,,,,,,,,
8,,,12,8000,0,4,0,,,,,,,,,,,
8,,,21,15000,0,0,0,,,,,,,,,,,
8,,,12,20000,0,2,0,,,,,,,,,,,
8,,,21,25000,0,0,0,,,,,,,,,,,
8,,,21,35000,0,0,0,,,,,,,,,,,
8,,,12,38000,0,2,0,,,,,,,,,,,
8,,,1,40000,0,6,0,,,,,,,,,,,
9,,,21,0,2,0,0,,,,,,,,,,,
9,,,2,5000,0,7,0,,,,,,,,,,,
9,,,2,20000,0,7,0,,,,,,,,,,,
9,,,12,10000,2,4,0,,,,,,,,,,,
9,,,6,25000,2,5,0,,,,,,,,,,,
9,,,1,45000,0,6,0,,,,,,,,,,,
9,,,2,35000,0,7,0,,,,,,,,,,,
9,,,21,0,3,0,0,,,,,,,,,,,
9,,,2,5000,1,7,0,,,,,,,,,,,
9,,,2,20000,1,7,0,,,,,,,,,,,
9,,,12,10000,3,4,0,,,,,,,,,,,
9,,,6,25000,3,5,0,,,,,,,,,,,
9,,,1,45000,1,6,0,,,,,,,,,,,
9,,,2,35000,1,7,0,,,,,,,,,,,
10,,,21,0,0,0,0,,,,,,,,,,,
10,,,21,3000,0,0,0,,,,,,,,,,,
10,,,8,12000,0,5,0,,,,,,,,,,,
10,,,12,20000,0,4,0,,,,,,,,,,,
10,,,8,30000,0,5,0,,,,,,,,,,,
10,,,18,15000,3,5,0,,,,,,,,,,,
10,,,18,30000,3,5,0,,,,,,,,,,,
10,,,18,45000,3,5,0,,,,,,,,,,,
10,,,21,0,1,0,0,,,,,,,,,,,
10,,,21,3000,1,0,0,,,,,,,,,,,
10,,,8,12000,1,5,0,,,,,,,,,,,
10,,,12,20000,1,4,0,,,,,,,,,,,
10,,,8,30000,1,5,0,,,,,,,,,,,
10,,,18,15000,2,5,0,,,,,,,,,,,
10,,,18,30000,2,5,0,,,,,,,,,,,
10,,,18,45000,2,5,0,,,,,,,,,,,
11,,,21,0,2,0,0,,,,,,,,,,,
11,,,21,3000,2,0,0,,,,,,,,,,,
11,,,19,12000,2,8,0,,,,,,,,,,,
11,,,19,25000,2,4,0,,,,,,,,,,,
11,,,6,25000,2,5,0,,,,,,,,,,,
11,,,18,50000,2,5,0,,,,,,,,,,,
11,,,21,0,1,0,0,,,,,,,,,,,
11,,,21,5000,1,0,0,,,,,,,,,,,
11,,,19,10000,1,8,0,,,,,,,,,,,
11,,,1,15000,1,6,0,,,,,,,,,,,
11,,,6,30000,1,5,0,,,,,,,,,,,
11,,,8,0,3,5,0,,,,,,,,,,,
11,,,6,10000,3,5,0,,,,,,,,,,,
11,,,18,12000,3,8,0,,,,,,,,,,,
11,,,18,25000,3,4,0,,,,,,,,,,,
11,,,21,0,0,0,0,,,,,,,,,,,
11,,,21,5000,0,0,0,,,,,,,,,,,
11,,,12,20000,0,8,0,,,,,,,,,,,
11,,,21,30000,0,0,0,,,,,,,,,,,
