wave,no,is_last_in_wave,enemy_id,time,gate,formation_id,min_difficulty,money,health,delta_time,
0,,,6,0,1,12,0,1050,20,25000,
0,,,19,0,1,15,0,,,,
0,,,21,2000,1,0,0,,,,
0,,,19,5000,2,0,0,,,,
0,,,6,1000,2,11,0,,,,
0,,,19,9000,2,0,0,,,,
1,,,21,5500,2,0,0,,,,
1,,,19,0,1,11,0,,,,
1,,,21,0,1,0,0,,,,
1,,,19,5000,2,0,0,,,,
1,,,22,0,7,17,0,,,,
1,,,22,4500,7,11,0,,,,
2,,,6,0,4,13,0,,,,
2,,,21,2000,1,0,0,,,,
2,,,21,0,1,0,0,,,,
1,,,19,4000,1,11,0,,,,
1,,,19,5500,1,12,0,,,,
2,,,21,8000,1,0,0,,,,
2,,,22,3000,7,17,0,,,,
2,,,22,6500,7,12,0,,,,
3,,,21,5000,1,0,0,,,,
3,,,21,0,1,0,0,,,,
3,,,21,10000,1,0,0,,,,
3,,,19,0,1,11,0,,,,
3,,,22,2000,7,14,0,,,,
3,,,22,7500,7,12,0,,,,
3,,,21,20000,2,12,0,,,,
3,,,19,18000,2,14,0,,,,
3,,,19,16000,2,13,0,,,,
4,,,6,8000,4,11,0,,,,
4,,,19,6500,2,12,0,,,,
4,,,21,4500,2,12,0,,,,
4,,,19,11000,2,0,0,,,,
4,,,19,19500,2,13,0,,,,
4,,,8,20500,2,14,0,,,,
4,,,23,2000,7,0,0,,,,
4,,,19,23500,1,14,0,,,,
4,,,20,22500,2,0,0,,,,
4,,,21,26000,0,11,0,,,,
4,,,23,32000,0,0,0,,,,
5,,,22,0,7,13,0,,,,
5,,,22,4500,7,13,0,,,,
5,,,21,2500,1,11,0,,,,
5,,,8,1500,1,11,0,,,,
5,,,19,4200,1,15,0,,,,
5,,,21,1500,2,0,0,,,,
5,,,19,2400,2,0,0,,,,
5,,,19,9100,2,0,0,,,,
5,,,6,18000,4,11,0,,,,
5,,,8,19500,1,11,0,,,,
5,,,19,20200,1,11,0,,,,
6,,,6,7000,4,11,0,,,,
6,,,19,7500,1,11,0,,,,
6,,,20,9700,2,0,0,,,,
6,,,21,0,0,0,0,,,,
6,,,21,4000,0,0,0,,,,
6,,,8,0,1,11,0,,,,
6,,,19,0,1,11,0,,,,
6,,,20,7000,2,0,0,,,,
6,,,23,0,6,0,0,,,,
6,,,23,0,6,0,0,,,,
6,,,22,17000,3,14,0,,,,
6,,,22,20500,3,13,0,,,,
6,,,20,20000,2,11,0,,,,
6,,,19,21000,2,18,0,,,,
6,,,21,32000,2,11,0,,,,
6,,,19,34000,2,16,0,,,,
7,,,22,4000,7,14,0,,,,10000
7,,,22,7500,7,13,0,,,,13500
7,,,22,16200,7,11,0,,,,22200
7,,,21,20000,1,0,0,,,,26000
7,,,21,23000,1,11,0,,,,29000
7,,,24,20000,1,0,0,,,,26000
7,,,8,6000,1,12,0,,,,12000
7,,,21,8000,1,11,0,,,,14000
7,,,21,14000,1,11,0,,,,20000
7,,,19,6000,1,14,0,,,,12000
7,,,23,2000,6,0,0,,,,8000
7,,,23,2000,7,0,0,,,,8000
7,,,24,35000,2,0,0,,,,41000
7,,,19,35000,2,11,0,,,,41000
7,,,21,34000,2,13,0,,,,40000
8,,,20,0,1,11,0,,,,
8,,,19,0,1,14,0,,,,
8,,,23,0,5,0,0,,,,
8,,,24,8000,1,0,0,,,,
8,,,20,8000,1,0,0,,,,
8,,,19,13000,0,13,0,,,,
8,,,22,11000,7,14,0,,,,
8,,,22,15000,7,12,0,,,,
9,,,22,2500,3,14,0,,,,
9,,,22,5000,3,12,0,,,,
9,,,21,7000,2,18,0,,,,
9,,,19,5500,2,14,0,,,,
9,,,20,11500,2,0,9,,,,
9,,,20,12500,2,0,0,,,,
9,,,19,14500,2,11,0,,,,
9,,,19,13500,2,11,0,,,,
9,,,20,34000,2,11,0,,,,
9,,,21,33000,2,0,0,,,,
9,,,22,33000,3,13,0,,,,
9,,,22,28000,3,14,0,,,,
9,,,22,30500,3,13,0,,,,
10,,,23,0,7,0,0,,,,
10,,,23,0,7,0,0,,,,
10,,,21,0,2,11,0,,,,
10,,,21,10000,0,11,0,,,,
10,,,20,8000,1,0,0,,,,
10,,,21,11500,1,11,0,,,,
10,,,19,16000,1,14,0,,,,
10,,,21,28000,0,11,0,,,,
10,,,21,29000,1,0,0,,,,
10,,,19,30000,2,12,0,,,,
10,,,21,29500,2,11,0,,,,
10,,,21,37000,1,11,0,,,,
10,,,21,38500,1,0,0,,,,
10,,,23,36000,5,0,0,,,,
10,,,23,37000,5,0,0,,,,
10,,,23,38000,5,0,0,,,,
11,,,21,0,1,16,0,,,,
11,,,19,0,1,14,0,,,,
11,,,23,0,5,0,0,,,,
11,,,19,19000,1,11,0,,,,
11,,,19,13000,0,13,0,,,,
11,,,22,11000,7,16,0,,,,
11,,,22,15500,7,12,0,,,,
12,,,22,2500,3,14,0,,,,
12,,,22,6000,3,18,0,,,,
12,,,21,7000,2,14,0,,,,
12,,,19,5500,2,14,0,,,,
12,,,21,19500,2,14,9,,,,
12,,,21,20500,2,14,0,,,,
12,,,19,22500,2,11,0,,,,
12,,,19,21500,2,14,0,,,,
12,,,24,48000,2,0,0,,,,
12,,,24,45000,2,0,0,,,,
12,,,20,42000,2,11,0,,,,
12,,,21,45000,2,12,0,,,,
12,,,22,48000,3,18,0,,,,
12,,,22,36000,3,14,0,,,,
12,,,22,40000,3,14,0,,,,
13,,,23,0,7,0,0,,,,
13,,,23,0,7,0,0,,,,
13,,,20,0,2,11,0,,,,
13,,,22,10000,7,18,0,,,,
13,,,19,8000,1,14,0,,,,
13,,,24,22000,1,0,0,,,,
13,,,24,19000,1,0,0,,,,
13,,,20,17500,1,12,0,,,,
13,,,19,19000,1,14,0,,,,
13,,,22,36000,3,17,0,,,,
13,,,22,39500,3,17,0,,,,
13,,,21,36000,2,11,0,,,,
13,,,21,42000,2,14,0,,,,
13,,,19,40000,2,12,0,,,,
13,,,20,46500,2,12,0,,,,
13,,,22,69000,7,18,0,,,,
13,,,22,75000,7,18,0,,,,
13,,,24,72000,1,0,0,,,,
13,,,24,74000,1,0,0,,,,
13,,,20,69000,1,11,0,,,,
13,,,20,70500,1,14,0,,,,
13,,,19,68000,1,11,0,,,,
13,,,21,74000,1,11,0,,,,
13,,,24,86000,1,0,0,,,,
13,,,24,85000,1,0,0,,,,
13,,,20,83000,1,11,0,,,,
