wave,no,time,is_last_in_wave,enemy_id,gate,formation_id,min_difficulty,money,health,delta_time
0,0,110,0,0,0,0,0,350,20,15000
0,1,880,0,0,0,0,0,,,
0,2,1650,0,0,0,0,0,,,
0,3,2420,0,0,0,0,0,,,
0,4,3190,0,0,0,0,0,,,
0,5,3960,0,0,0,0,0,,,
0,6,4730,0,0,0,0,0,,,
0,7,12650,0,0,0,0,0,,,
0,8,13200,0,0,0,0,0,,,
0,9,13750,0,0,0,0,0,,,
0,10,14300,0,0,0,0,0,,,
0,11,14850,0,0,0,0,0,,,
0,12,15400,0,0,0,0,0,,,
0,13,15950,0,0,0,0,0,,,
0,14,16500,0,0,0,0,0,,,
0,15,17050,0,0,0,0,0,,,
0,16,22110,0,0,0,0,0,,,
0,17,23760,0,0,0,0,0,,,
0,18,25410,0,0,0,0,0,,,
0,19,27060,1,0,0,0,0,,,
1,0,5610,0,0,0,0,0,,,
1,1,6160,0,0,0,0,0,,,
1,2,6710,0,0,0,0,0,,,
1,3,7260,0,0,0,0,0,,,
1,4,7810,0,0,0,0,0,,,
1,5,8360,0,0,0,0,0,,,
1,6,8910,0,0,0,0,0,,,
1,7,9460,0,0,0,0,0,,,
1,8,10010,0,0,0,0,0,,,
1,9,10560,0,0,0,0,0,,,
1,10,15000,0,1,1,0,0,,,
1,11,16000,0,1,1,0,0,,,
1,12,17000,1,1,1,0,0,,,
2,0,4610,0,2,0,0,0,,,
2,1,5710,0,2,0,0,0,,,
2,2,6810,0,2,0,0,0,,,
2,3,7910,0,2,0,0,0,,,
2,4,9010,0,2,0,0,0,,,
2,5,10110,1,2,0,0,0,,,
3,0,4110,0,0,0,0,0,,,
3,1,4550,0,0,0,0,0,,,
3,2,5760,0,0,0,0,0,,,
3,3,6200,0,0,0,0,0,,,
3,4,7410,0,0,0,0,0,,,
3,5,7630,0,0,0,0,0,,,
3,6,8730,0,0,0,0,0,,,
3,7,9170,0,0,0,0,0,,,
3,8,10270,0,0,0,0,0,,,
3,9,10490,0,0,0,0,0,,,
3,10,10710,0,0,0,0,0,,,
3,11,16210,0,0,0,0,0,,,
3,12,16430,0,0,0,0,0,,,
3,13,16760,0,0,0,0,0,,,
3,14,10710,0,1,1,0,0,,,
3,15,11150,0,1,1,0,0,,,
3,16,11590,0,1,1,0,0,,,
3,17,12030,0,1,1,0,0,,,
3,18,12470,0,1,1,0,0,,,
3,19,22000,0,1,1,0,0,,,
3,20,23000,0,1,1,0,0,,,
3,21,24000,0,1,1,0,0,,,
3,22,25000,1,1,1,0,0,,,
4,0,3000,0,6,3,0,0,,,
4,1,9440,0,6,3,0,0,,,
4,2,12000,0,6,3,0,0,,,
4,3,18000,0,6,3,0,0,,,
4,4,21000,0,6,3,0,0,,,
4,5,24000,0,6,3,0,0,,,
4,6,27000,1,6,3,0,0,,,
5,0,110,0,1,0,0,0,,,
5,1,1760,0,1,0,0,0,,,
5,2,3410,0,1,0,0,0,,,
5,3,5060,0,1,0,0,0,,,
5,4,6710,0,1,0,0,0,,,
5,5,8360,0,1,0,0,0,,,
5,6,10010,0,1,0,0,0,,,
5,7,11660,0,1,0,0,0,,,
