wave,no,time,is_last_in_wave,enemy_id,gate,formation_id,min_difficulty,money,health,delta_time
0,0,0,0,5,2,0,0,650,5,15000
0,1,500,0,0,2,0,0,,,
0,2,1000,0,0,2,0,0,,,
0,3,1500,0,0,2,0,0,,,
0,4,2000,0,0,2,0,0,,,
0,5,7000,0,5,3,0,0,,,
0,6,15000,0,0,3,0,0,,,
0,7,15500,0,0,3,0,0,,,
0,8,16000,0,0,3,0,0,,,
0,9,16500,0,0,3,0,0,,,
0,10,17000,0,0,3,0,0,,,
0,11,17500,1,0,3,0,0,,,
1,0,0,0,0,0,0,0,,,
1,1,3000,0,0,0,0,0,,,
1,2,6000,0,0,0,0,0,,,
1,3,16000,0,0,0,0,0,,,
1,4,19000,0,0,0,0,0,,,
1,5,22000,0,0,0,0,0,,,
1,6,0,0,0,1,0,0,,,
1,7,3000,0,0,1,0,0,,,
1,8,6000,0,0,1,0,0,,,
1,9,16000,0,0,1,0,0,,,
1,10,19000,0,0,1,0,0,,,
1,11,22000,1,0,1,0,0,,,
2,0,0,0,5,0,0,0,,,
2,1,2000,0,2,0,0,0,,,
2,2,4000,0,2,0,0,0,,,
2,3,15000,0,2,2,0,0,,,
2,4,17000,0,2,2,0,0,,,
2,5,19000,0,2,2,0,0,,,
2,6,22000,0,2,2,0,0,,,
2,7,16000,0,0,2,0,0,,,
2,8,18000,0,0,2,0,0,,,
2,9,20000,0,1,2,0,0,,,
2,10,23000,0,1,2,0,0,,,
2,11,25000,0,1,2,0,0,,,
2,12,0,0,2,1,0,0,,,
2,13,2000,0,2,1,0,0,,,
2,14,4000,0,2,1,0,0,,,
2,15,15000,0,5,3,0,0,,,
2,16,17000,0,2,3,0,0,,,
2,17,19000,0,2,3,0,0,,,
2,18,22000,0,2,3,0,0,,,
2,19,16000,0,1,3,0,0,,,
2,20,18000,0,1,3,0,0,,,
2,21,20000,0,0,3,0,0,,,
2,22,23000,0,0,3,0,0,,,
2,23,25000,1,0,3,0,0,,,
3,0,0,0,0,2,0,0,,,
3,1,500,0,0,2,0,0,,,
3,2,1000,0,0,2,0,0,,,
3,3,1500,0,0,2,0,0,,,
3,4,2000,0,0,2,0,0,,,
3,5,2500,0,0,2,0,0,,,
3,6,11000,0,0,2,0,0,,,
3,7,11500,0,0,2,0,0,,,
3,8,12000,0,0,2,0,0,,,
3,9,12500,0,0,2,0,0,,,
3,10,13000,0,0,2,0,0,,,
3,11,0,0,0,3,0,0,,,
3,12,500,0,0,3,0,0,,,
3,13,1000,0,0,3,0,0,,,
3,14,1500,0,0,3,0,0,,,
3,15,2000,0,0,3,0,0,,,
3,16,14000,0,0,3,0,0,,,
3,17,14500,0,0,3,0,0,,,
3,18,15000,0,0,3,0,0,,,
3,19,15500,0,0,3,0,0,,,
3,20,16000,1,0,3,0,0,,,
4,0,0,0,1,2,0,0,,,
4,1,1000,0,1,2,0,0,,,
4,2,2000,0,1,2,0,0,,,
4,3,6000,0,2,2,0,0,,,
4,4,6500,0,2,2,0,0,,,
4,5,7000,0,2,2,0,0,,,
4,6,7500,0,2,2,0,0,,,
4,7,8000,0,2,2,0,0,,,
4,8,8500,0,5,2,0,0,,,
4,9,15000,0,5,2,0,0,,,
4,10,16000,0,4,2,0,0,,,
4,11,17000,0,1,2,0,0,,,
4,12,18000,0,1,2,0,0,,,
4,13,19000,0,1,2,0,0,,,
4,14,0,0,0,3,0,0,,,
4,15,1000,0,0,3,0,0,,,
4,16,2000,0,0,3,0,0,,,
4,17,6000,0,5,3,0,0,,,
4,18,6500,0,2,3,0,0,,,
4,19,7000,0,2,3,0,0,,,
4,20,7500,0,2,3,0,0,,,
4,21,8000,0,2,3,0,0,,,
4,22,8500,0,2,3,0,0,,,
4,23,15000,0,5,3,0,0,,,
4,24,16000,0,4,3,0,0,,,
4,25,17000,0,1,3,0,0,,,
4,26,18000,0,1,3,0,0,,,
4,27,19000,1,1,3,0,0,,,
5,0,0,0,5,2,0,0,,,
5,1,1000,0,5,2,0,0,,,
5,2,2000,0,4,2,0,0,,,
5,3,17000,0,1,2,0,0,,,
5,4,18000,0,1,2,0,0,,,
5,5,19000,0,1,2,0,0,,,
5,6,21000,0,1,2,0,0,,,
5,7,23000,0,1,2,0,0,,,
5,8,19000,0,1,2,0,0,,,
5,9,21000,0,1,2,0,0,,,
5,10,23000,0,1,2,0,0,,,
5,11,23000,0,2,2,0,0,,,
5,12,24000,0,2,2,0,0,,,
5,13,25000,0,2,2,0,0,,,
5,14,0,0,5,3,0,0,,,
5,15,500,0,4,3,0,0,,,
5,16,11000,0,5,3,0,0,,,
5,17,13000,0,4,3,0,0,,,
5,18,19000,0,1,3,0,0,,,
5,19,21000,0,1,3,0,0,,,
5,20,23000,0,1,3,0,0,,,
5,21,22000,0,2,3,0,0,,,
5,22,24000,0,2,3,0,0,,,
5,23,26000,0,2,3,0,0,,,
5,24,26000,0,2,3,0,0,,,
5,25,27000,0,2,3,0,0,,,
5,26,28000,0,2,3,0,0,,,
5,27,29000,0,2,3,0,0,,,
5,28,30000,1,2,3,0,0,,,
5,29,1000,0,6,0,0,0,,,
5,30,3000,0,6,0,0,0,,,
5,31,5000,0,6,0,0,0,,,
5,32,1000,0,6,1,0,0,,,
5,33,3000,0,6,1,0,0,,,
5,34,5000,0,6,1,0,0,,,
5,35,6000,0,6,1,0,0,,,
5,36,7000,0,6,1,0,0,,,
6,0,0,0,2,2,0,0,,,
6,1,500,0,2,2,0,0,,,
6,2,1000,0,2,2,0,0,,,
6,3,1500,0,2,2,0,0,,,
6,4,2000,0,2,2,0,0,,,
6,5,11000,0,2,2,0,0,,,
