wave,no,time,is_last_in_wave,enemy_id,gate,formation_id,min_difficulty,money,health,delta_time
0,,0,,2,1,9,0,1050,1,3000
0,,10000,,3,1,9,0,,,
0,,15000,,2,1,9,0,,,
0,,20000,,3,1,9,0,,,
1,,0,,0,1,23,0,,,
1,,0,,0,2,23,0,,,
1,,10000,,0,1,23,0,,,
1,,10000,,3,2,9,0,,,
1,,15000,,2,2,22,0,,,
1,,20000,,3,2,9,0,,,
2,,0,,5,0,0,0,,,
2,,3000,,5,0,0,0,,,
2,,15000,,3,0,9,0,,,
2,,30000,,2,0,9,0,,,
2,,40000,,3,0,9,0,,,
2,,10000,,0,0,23,0,,,
2,,15000,,5,3,0,0,,,
2,,18000,,5,3,0,0,,,
2,,25000,,1,3,22,0,,,
2,,30000,,2,3,22,0,,,
2,,33000,,3,3,9,0,,,
3,,10000,,1,4,22,0,,,
3,,30000,,1,4,22,0,,,
3,,50000,,1,4,22,0,,,
3,,18000,,21,5,0,0,,,
3,,40000,,1,5,22,0,,,
3,,55000,,1,5,22,0,,,
4,,0,,21,2,0,0,,,
4,,3000,,21,2,0,0,,,
4,,10000,,6,2,2,0,,,
4,,25000,,1,2,22,0,,,
4,,40000,,6,2,2,0,,,
4,,15000,,21,3,0,0,,,
4,,18000,,21,3,0,0,,,
4,,35000,,6,3,2,0,,,
4,,45000,,3,3,23,0,,,
4,,55000,,6,3,2,0,,,
5,,0,,20,4,0,0,,,
5,,3000,,20,4,0,0,,,
5,,10000,,1,4,22,0,,,
5,,20000,,6,4,2,0,,,
5,,40000,,3,4,9,0,,,
5,,0,,20,5,0,0,,,
5,,10000,,6,5,2,0,,,
5,,28000,,5,5,3,0,,,
5,,35000,,6,5,2,0,,,
5,,0,,20,1,0,0,,,
5,,3000,,20,1,0,0,,,
5,,20000,,1,1,22,0,,,
5,,40000,,1,1,22,0,,,
5,,45000,,1,1,22,0,,,
5,,20000,,20,3,0,0,,,
5,,35000,,22,3,21,0,,,
5,,55000,,22,3,21,0,,,
6,,0,,20,1,0,0,,,
6,,4000,,4,1,0,0,,,
6,,15000,,21,1,24,0,,,
6,,19000,,4,1,0,0,,,
6,,21000,,4,1,0,0,,,
6,,23000,,21,1,24,0,,,
6,,35000,,3,1,9,0,,,
6,,0,,20,5,0,0,,,
6,,4000,,4,5,0,0,,,
6,,8000,,14,5,19,0,,,
6,,30000,,21,5,0,0,,,
6,,33000,,4,5,0,0,,,
6,,40000,,14,5,19,0,,,
6,,45000,,3,5,23,0,,,
6,,55000,,22,5,21,0,,,
7,,0,,20,1,0,0,,,
7,,4000,,4,1,0,0,,,
7,,8000,,14,1,19,0,,,
7,,12000,,24,1,0,0,,,
7,,15000,,24,1,0,0,,,
7,,18000,,14,1,19,0,,,
7,,25000,,6,1,9,0,,,
7,,35000,,6,1,9,0,,,
7,,15000,,1,5,23,0,,,
7,,25000,,1,5,23,0,,,
7,,40000,,1,5,23,0,,,
8,,0,,20,2,0,0,,,
8,,4000,,4,2,0,0,,,
8,,8000,,14,2,19,0,,,
8,,12000,,24,2,0,0,,,
8,,15000,,24,2,0,0,,,
8,,18000,,14,2,19,0,,,
8,,25000,,6,2,9,0,,,
8,,35000,,6,2,9,0,,,
8,,15000,,1,3,23,0,,,
8,,25000,,1,3,23,0,,,
8,,40000,,1,3,23,0,,,
9,,0,,20,0,0,0,,,
9,,0,,20,1,0,0,,,
9,,0,,20,2,0,0,,,
9,,0,,20,3,0,0,,,
9,,0,,20,4,0,0,,,
9,,0,,20,5,0,0,,,
9,,5000,,4,2,0,0,,,
9,,5000,,4,4,0,0,,,
9,,10000,,14,1,19,0,,,
9,,10000,,14,5,19,0,,,
9,,25000,,6,3,9,0,,,
9,,30000,,6,5,9,0,,,
9,,45000,,22,3,21,0,,,
9,,55000,,22,5,21,0,,,
10,,0,,20,0,3,0,,,
10,,4000,,4,0,0,0,,,
10,,8000,,14,0,19,0,,,
10,,12000,,24,0,0,0,,,
10,,15000,,24,0,0,0,,,
10,,18000,,14,0,19,0,,,
10,,0,,20,1,3,0,,,
10,,4000,,4,1,0,0,,,
10,,0,,20,2,3,0,,,
10,,4000,,4,2,0,0,,,
10,,8000,,14,2,19,0,,,
10,,12000,,24,2,0,0,,,
10,,15000,,24,2,0,0,,,
10,,18000,,14,2,19,0,,,
10,,0,,20,3,3,0,,,
10,,4000,,4,3,0,0,,,
10,,30000,,1,0,23,0,,,
10,,30000,,1,1,23,0,,,
10,,45000,,1,2,23,0,,,
