id,name,level,price,,reload,ignore_reload_chance,attack_range,gold_produce,auto_collect_time,damage_physics_min,damage_physics_max,damage_magic_min,damage_magic_max,instant_kill_chance,ignore_armor_chance,critical_strike_chance,unit_health,unit_armor_physics,unit_armor_magic,unit_attackCooldown,unit_attack_range_min,unit_attack_range_average,unit_attack_range_max,unit_moveSpeed,unit_dodge_chance,unit_ignore_armor_chance,debuff_effect_key,debuff_effect_value,debuff_effect_duration,debuff_chance,round_attack,air_attack,unlock,bull_aoe,value
0,Archer,0,70,,850,0,140,0,0,3,7,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,21
0,Archer,1,110,,600,0,160,0,0,5,11,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,54
0,Archer,2,160,,500,0,180,0,0,10,13,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,102
0,Archer,3,230,,970,0,200,0,0,12,16,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,171
0,Archer,4,240,,2500,0,250,0,0,60,90,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,171
1,Knights,0,70,,10000,0,160,0,0,1,3,0,0,0,0,0,50,0,0,1000,10,50,50,60,0,0,,0,0,0,1,0,1,0,21
1,Knights,1,110,,10000,0,160,0,0,3,5,0,0,0,0,0,100,20,0,1000,10,50,50,65,0,0,,0,0,0,1,0,1,0,54
1,Knights,2,160,,10000,0,160,0,0,5,9,0,0,0,0,0,150,20,0,1000,10,50,50,70,0,0,,0,0,0,1,0,1,0,102
1,Knights,3,230,,10000,0,160,0,0,10,16,0,0,0,0,0,200,40,0,1000,10,50,50,75,0,0,,0,0,0,1,0,1,0,171
1,Knights,4,230,,10000,0,160,0,0,15,30,0,0,0,0,0,250,0,0,1000,10,50,50,75,0,0,,0,0,0,1,0,1,0,171
2,Stone God,0,125,,3000,0,155,0,0,8,12,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,0,1,70,38
2,Stone God,1,220,,3000,0,155,0,0,20,30,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,0,1,70,104
2,Stone God,2,320,,3000,0,180,0,0,35,50,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,0,1,70,200
2,Stone God,3,400,,3000,0,180,0,0,42,58,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,0,1,70,320
2,Stone God,4,320,,3000,0,140,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,0,1,70,320
3,Magic Dragon,0,100,,2000,0,140,0,0,0,0,5,11,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,30
3,Magic Dragon,1,160,,2000,0,155,0,0,0,0,10,16,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,78
3,Magic Dragon,2,240,,2000,0,170,0,0,0,0,20,26,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,150
3,Magic Dragon,3,300,,2000,0,185,0,0,0,0,24,30,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,240
3,Magic Dragon,4,300,,2500,0,300,0,0,0,0,60,80,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,1,1,1,0,240
4,Supporter,0,100,,10000,0,140,10,1000,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,0,0,1,0,21
4,Supporter,1,150,,10000,0,160,25,1000,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,0,0,1,0,54
4,Supporter,2,200,,10000,0,180,35,1000,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,0,0,1,0,102
4,Supporter,3,250,,10000,0,200,45,1000,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,0,0,1,0,171
4,Supporter,4,250,,10000,0,210,45,1000,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,,0,0,0,0,0,1,0,171
